,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-17,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-18,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-22,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-12-26,0.0,0.0,0.0,NULL,NULL,0.0
4,2018-12-27,45777.07,0.0,0.0,NULL,NULL,0.0
5,2018-12-28,0.0,0.0,0.0,NULL,NULL,0.0
6,2018-12-29,2400.75,0.0,0.0,NULL,NULL,0.0
7,2018-12-30,4584.75,0.0,0.0,NULL,NULL,0.0
8,2018-12-31,8036.25,7.0,6724.0,8,39,21.0
9,2019-01-01,8036.25,8.0,120.0,8,34,25.0
10,2019-01-02,8126.25,9.0,2498.0,10,39,37.0
11,2019-01-03,8126.25,12.0,1520.0,10,39,120.0
12,2019-01-04,8422.5,46.0,12420.0,8,29,19951.0
13,2019-01-05,8469.48,38.0,2645.0,8,28,6441.0
14,2019-01-06,8584.83,33.0,3556.0,9,29,3562.0
15,2019-01-07,8670.48,42.0,5085.0,8,26,2375.0
16,2019-01-08,8711.73,35.0,3874.0,8,29,635.0
17,2019-01-09,21411.76,28.0,1979.0,10,34,784.0
18,2019-01-10,21354.85,25.0,1042.0,9,33,466.0
19,2019-01-11,21479.73,17.0,1030.0,11,40,36.0
20,2019-01-12,21514.73,18.0,44.0,12,42,39.0
21,2019-01-13,21573.63,20.0,83.0,13,42,48.0
22,2019-01-14,21602.23,21.0,1080.0,11,40,291.0
23,2019-01-15,21677.76,21.0,1831.0,11,41,350.0
24,2019-01-16,21509.26,20.0,595.0,11,40,931.0
25,2019-01-17,21596.76,20.0,3130.0,12,43,1360.0
26,2019-01-18,21640.76,16.0,830.0,15,46,49.0
27,2019-01-19,21585.23,16.0,1019.0,13,43,566.0
28,2019-01-20,0.0,16.0,60.0,15,47,202.0
29,2019-01-21,21666.23,17.0,160.0,14,45,323.0
30,2019-01-22,21656.23,10.0,0.0,15,48,19.0
31,2019-01-23,21771.33,16.0,149.0,13,46,71.0
32,2019-01-24,21798.83,25.0,125.0,13,39,378.0
33,2019-01-25,23230.13,24.0,5938.0,14,43,507.0
34,2019-01-26,23478.13,19.0,400.0,12,42,155.0
35,2019-01-27,23565.95,28.0,1271.0,13,38,121.0
36,2019-01-28,17888.05,18.0,120.0,13,47,63.0
37,2019-01-29,23775.05,18.0,213.0,12,46,54.0
38,2019-01-30,23852.55,14.0,100.0,16,51,50.0
39,2019-01-31,7730.5,15.0,100.0,16,50,31.0
40,2019-02-01,7811.5,15.0,90.0,15,48,191.0
41,2019-02-02,7856.5,12.0,50.0,16,51,65.0
42,2019-02-03,7808.9,19.0,320.0,15,47,437.0
43,2019-02-04,7895.4,12.0,117.0,17,48,24.0
44,2019-02-05,7930.4,14.0,60.0,16,48,34.0
45,2019-02-06,7936.4,13.0,10.0,16,50,18.0
46,2019-02-07,7884.2,16.0,82.0,17,48,351.0
47,2019-02-08,8070.3,21.0,1178.0,16,43,61.0
48,2019-02-09,8992.9,16.0,15080.0,14,46,1111.0
49,2019-02-10,8962.3,20.0,0.0,14,41,43.0
50,2019-02-11,9007.3,19.0,110.0,14,45,120.0
51,2019-02-12,8990.0,23.0,192.0,13,45,134.0
52,2019-02-13,9467.0,20.0,12270.0,13,46,112.0
53,2019-02-14,10031.25,21.0,9130.0,12,45,534.0
54,2019-02-15,10235.25,17.0,560.0,14,52,1054.0
55,2019-02-16,10778.12,22.0,1720.0,11,46,361.0
56,2019-02-17,11459.11,36.0,10597.0,12,43,707.0
57,2019-02-18,11902.16,31.0,6280.0,11,44,556.0
58,2019-02-19,12031.96,29.0,215.0,12,46,552.0
59,2019-02-20,12561.96,31.0,778.0,11,43,981.0
60,2019-02-21,12877.66,31.0,423.0,11,47,161.0
61,2019-02-22,11998.66,24.0,0.0,13,52,149.0
62,2019-02-23,0.0,19.0,200.0,12,50,82.0
63,2019-02-24,0.0,24.0,890.0,12,46,1592.0
64,2019-02-25,12502.14,26.0,205.0,13,51,127.0
65,2019-02-26,12754.74,28.0,294.0,13,49,78.0
66,2019-02-27,13173.74,22.0,510.0,12,51,88.0
67,2019-02-28,13311.84,28.0,184.0,13,51,133.0
68,2019-03-01,13077.14,31.0,383.0,13,49,158.0
69,2019-03-02,13151.01,21.0,3350.0,13,53,355.0
70,2019-03-03,11299.1,21.0,200.0,13,52,114.0
71,2019-03-04,11463.7,25.0,580.0,14,54,143.0
72,2019-03-05,11638.7,26.0,390.0,13,53,117.0
73,2019-03-06,11739.95,21.0,655.0,15,56,95.0
74,2019-03-07,11681.85,22.0,4.0,13,58,96.0
75,2019-03-08,11928.35,22.0,374.0,13,52,187.0
76,2019-03-09,12043.85,23.0,164.0,13,54,339.0
77,2019-03-10,12204.23,21.0,3577.0,14,57,105.0
78,2019-03-11,12283.03,18.0,102.0,12,58,47.0
79,2019-03-12,12298.03,22.0,40.0,13,56,66.0
80,2019-03-13,12254.03,21.0,0.0,14,57,75.0
81,2019-03-14,0.0,23.0,4.0,14,58,80.0
82,2019-03-15,0.0,25.0,7.0,13,57,81.0
83,2019-03-16,0.0,25.0,460.0,13,58,110.0
84,2019-03-17,0.0,20.0,4.0,13,60,52.0
85,2019-03-18,0.0,23.0,10.0,13,61,76.0
86,2019-03-19,0.0,19.0,90.0,13,67,67.0
87,2019-03-20,11284.73,19.0,56.0,16,71,59.0
88,2019-03-21,11227.23,18.0,75.0,15,72,71.0
89,2019-03-22,11344.23,24.0,190.0,16,74,107.0
90,2019-03-23,11582.03,30.0,312.0,16,69,84.0
91,2019-03-24,11629.03,25.0,90.0,16,76,75.0
92,2019-03-25,11573.03,19.0,0.0,16,84,76.0
93,2019-03-26,11714.53,26.0,2074.0,15,83,215.0
94,2019-03-27,11276.8,31.0,214.0,15,79,111.0
95,2019-03-28,11405.8,18.0,300.0,17,88,82.0
96,2019-03-29,11354.8,23.0,80.0,16,83,84.0
97,2019-03-30,11224.8,17.0,100.0,16,86,45.0
98,2019-03-31,11194.8,20.0,0.0,15,95,49.0
99,2019-04-01,11427.6,21.0,300.0,16,92,71.0
100,2019-04-02,11647.6,17.0,260.0,15,98,47.0
101,2019-04-03,11879.94,21.0,2001.89881,14,93,61.0
102,2019-04-04,11941.34,18.0,96.0,15,92,60.0
103,2019-04-05,11932.34,22.0,0.0,15,87,56.0
104,2019-04-06,12000.54,16.0,400.0,15,94,49.0
105,2019-04-07,12030.64,27.0,74.0,14,84,53.0
106,2019-04-08,12039.64,18.0,10.0,15,92,34.0
107,2019-04-09,12052.64,24.0,15.0,15,85,42.0
108,2019-04-10,11861.14,20.0,105.0,15,90,33.0
109,2019-04-11,11842.14,15.0,0.0,15,95,20.0
110,2019-04-12,11932.14,13.0,100.0,14,96,23.0
111,2019-04-13,12040.14,14.0,120.0,14,92,26.0
112,2019-04-14,12040.14,0.0,0.0,NULL,NULL,0.0
113,2019-04-15,12122.84,15.0,103.0,13,92,28.0
114,2019-04-16,12328.84,23.0,540.0,12,82,53.0
115,2019-04-17,12443.84,17.0,150.0,15,94,45.0
116,2019-04-18,12611.34,14.0,195.0,15,97,42.0
117,2019-04-19,12691.34,11.0,100.0,15,103,20.0
118,2019-04-20,12668.84,17.0,0.0,13,89,43.0
119,2019-04-21,12856.84,16.0,220.0,14,88,33.0
120,2019-04-22,12846.84,15.0,0.0,15,89,33.0
121,2019-04-23,12845.54,18.0,13.0,13,79,44.0
122,2019-04-24,12844.54,15.0,205.0,16,90,22.0
123,2019-04-25,12826.54,13.0,0.0,17,94,24.0
124,2019-04-26,13085.24,15.0,293.0,15,85,23.0
125,2019-04-27,13165.24,9.0,100.0,16,97,11.0
126,2019-04-28,13255.24,8.0,100.0,17,102,9.0
127,2019-04-29,13381.24,11.0,140.0,15,95,14.0
128,2019-04-30,13435.3,11.0,1495.0,15,90,14.0
129,2019-05-01,13436.8,16.0,35.0,15,86,33.0
130,2019-05-02,13436.8,7.0,0.0,17,102,7.0
131,2019-05-03,13436.8,7.0,0.0,18,105,7.0
132,2019-05-04,13416.8,10.0,0.0,16,88,16.0
133,2019-05-05,13400.3,12.0,0.0,14,89,28.0
134,2019-05-06,13427.3,22.0,53.0,14,76,37.0
135,2019-05-07,13427.3,11.0,0.0,17,88,13.0
136,2019-05-08,13427.3,15.0,0.0,16,80,22.0
137,2019-05-09,13397.3,13.0,0.0,15,82,26.0
138,2019-05-10,13234.3,13.0,0.0,15,80,24.0
139,2019-05-11,13234.3,13.0,0.0,14,81,15.0
140,2019-05-12,13234.3,4.0,0.0,16,94,5.0
141,2019-05-13,13031.3,9.0,50.0,16,93,12.0
142,2019-05-14,13112.3,10.0,100.0,16,81,13.0
143,2019-05-15,13103.3,8.0,0.0,16,85,20.0
144,2019-05-16,13107.8,5.0,5.0,18,100,7.0
