,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-03,0.0,2.0,0.0,24,151,2.0
1,2019-04-08,0.0,1.0,0.0,26,158,2.0
2,2019-05-09,0.0,1.0,0.0,25,145,1.0
3,2019-05-13,0.0,4.0,6570.0,19,109,40.0
4,2019-05-14,0.0,3.0,0.0,20,112,4.0
5,2019-05-15,0.0,3.0,0.0,19,104,372.0
6,2019-05-16,0.0,7.0,0.0,16,89,280.0
7,2019-05-17,0.0,2.0,0.0,20,112,144.0
8,2019-05-18,0.0,9.0,0.0,17,84,170.0
9,2019-05-19,0.0,3.0,0.0,20,107,80.0
10,2019-05-20,0.0,5.0,0.0,18,93,74.0
11,2019-05-21,0.0,4.0,0.0,19,96,243.0
12,2019-05-22,0.0,19.0,0.0,13,67,1225.0
13,2019-05-23,0.0,57.0,0.0,11,50,730.0
14,2019-05-24,0.0,18.0,2001.0,15,71,271.0
15,2019-05-25,0.0,29.0,2.0,13,61,167.0
16,2019-05-26,0.0,126.0,2.0,8,38,256.0
17,2019-05-27,0.0,93.0,2.0,10,43,216.0
18,2019-05-28,0.0,15.0,300002.0,14,73,95.0
19,2019-05-29,289557.24,3.0,2976.0,22,114,67.0
20,2019-05-30,289577.6,6.0,0.0,19,93,79.0
21,2019-05-31,285653.92,6.0,0.0,20,98,93.0
22,2019-06-01,197271.56,109.0,0.0,10,43,344.0
23,2019-06-02,159808.34,172.0,0.0,8,34,546.0
24,2019-06-03,121661.0,44.0,0.0,13,58,327.0
25,2019-06-04,97338.9,7.0,0.0,19,94,230.0
26,2019-06-05,259165.28,4.0,200000.0,21,97,185.0
27,2019-06-06,201110.46,5.0,0.0,20,98,163.0
28,2019-06-07,166386.52,3.0,0.0,21,110,182.0
29,2019-06-08,120129.02,4.0,0.0,19,101,186.0
30,2019-06-09,110796.06,3.0,0.0,19,106,232.0
31,2019-06-10,91216.48,3.0,0.0,19,116,304.0
32,2019-06-11,146079.42,77.0,100000.0,10,51,435.0
33,2019-06-12,212696.18,148.0,150000.0,7,36,520.0
34,2019-06-13,156656.82,6.0,0.0,18,92,299.0
35,2019-06-14,99592.7,41.0,0.0,11,59,554.0
36,2019-06-15,537933.58,117.0,1400000.0,7,38,156.0
37,2019-06-16,1081440.76,115.0,1000000.0,8,41,164.0
38,2019-06-17,1016483.3,117.0,0.0,8,43,153.0
39,2019-06-18,1203906.78,52.0,0.0,11,49,81.0
40,2019-06-19,945204.28,34.0,0.0,11,54,43.0
41,2019-06-20,952611.9,45.0,0.0,11,51,62.0
42,2019-06-21,857220.8,63.0,0.0,10,48,78.0
43,2019-06-22,1148633.36,48.0,250000.0,10,51,105.0
44,2019-06-23,581450.18,51.0,0.0,9,50,71.0
45,2019-06-24,1080585.3,46.0,320000.0,10,53,67.0
46,2019-06-25,1240246.24,66.0,0.0,9,48,93.0
47,2019-06-26,1017596.66,58.0,0.0,9,49,98.0
48,2019-06-27,1199668.36,47.0,0.0,10,51,82.0
49,2019-06-28,979403.86,42.0,0.0,10,48,71.0
50,2019-06-29,1140722.38,35.0,0.0,10,51,39.0
51,2019-06-30,1053078.4,33.0,0.0,9,53,44.0
52,2019-07-01,2125920.96,32.0,1073000.0,9,55,48.0
53,2019-07-02,2171400.12,42.0,0.0,9,52,55.0
54,2019-07-03,1994945.18,39.0,0.0,7,49,49.0
55,2019-07-04,2050954.56,52.0,0.0,7,46,63.0
56,2019-07-05,1982141.2,43.0,0.0,7,47,56.0
57,2019-07-06,1937869.64,40.0,0.0,6,46,66.0
58,2019-07-07,2016132.98,35.0,0.0,6,48,54.0
59,2019-07-08,0.0,53.0,0.0,6,46,115.0
60,2019-07-09,0.0,47.0,0.0,8,46,94.0
61,2019-07-10,0.0,43.0,0.0,6,48,73.0
