,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-05,0.0,2.0,97.0,23,68,15.0
1,2019-01-06,0.0,2.0,30.0,22,71,15.0
2,2019-01-07,0.0,4.0,2.0,21,61,15.0
3,2019-01-08,0.0,4.0,0.0,17,62,18.0
4,2019-01-09,0.0,2.0,30.0,23,73,10.0
5,2019-01-10,0.0,9.0,580.0,17,49,60.0
6,2019-01-11,0.0,3.0,1.0,23,70,14.0
7,2019-01-12,0.0,1.0,0.0,24,73,3.0
8,2019-01-17,0.0,1.0,2.0,27,80,5.0
9,2019-01-18,0.0,1.0,0.0,28,83,1.0
10,2019-01-19,0.0,1.0,0.0,27,80,1.0
11,2019-01-20,0.0,2.0,0.0,22,68,13.0
12,2019-01-21,613.0,5.0,0.0,22,61,7.0
13,2019-01-22,613.0,3.0,0.0,25,68,8.0
14,2019-01-24,613.0,3.0,0.0,25,71,4.0
15,2019-01-25,613.0,1.0,0.0,27,85,1.0
16,2019-01-27,613.0,1.0,0.0,28,79,1.0
17,2019-02-06,613.0,1.0,0.0,24,79,1.0
18,2019-02-28,613.0,2.0,0.0,24,91,2.0
19,2019-03-12,613.0,1.0,0.0,27,106,1.0
20,2019-03-13,613.0,1.0,0.0,28,108,1.0
21,2019-03-15,0.0,2.0,0.0,23,98,3.0
22,2019-03-20,613.0,0.0,0.0,NULL,NULL,0.0
23,2019-03-21,613.0,0.0,0.0,NULL,NULL,0.0
24,2019-03-22,613.0,0.0,0.0,NULL,NULL,0.0
25,2019-03-23,613.0,0.0,0.0,NULL,NULL,0.0
26,2019-03-24,613.0,0.0,0.0,NULL,NULL,0.0
27,2019-03-25,613.0,1.0,0.0,27,133,1.0
28,2019-03-26,613.0,0.0,0.0,NULL,NULL,0.0
29,2019-03-27,613.0,0.0,0.0,NULL,NULL,0.0
30,2019-03-28,613.0,0.0,0.0,NULL,NULL,0.0
31,2019-03-29,613.0,0.0,0.0,NULL,NULL,0.0
32,2019-03-30,613.0,1.0,0.0,26,140,1.0
33,2019-03-31,613.0,0.0,0.0,NULL,NULL,0.0
34,2019-04-01,613.0,0.0,0.0,NULL,NULL,0.0
35,2019-04-02,613.0,0.0,0.0,NULL,NULL,0.0
36,2019-04-03,613.0,1.0,0.0,25,159,1.0
37,2019-04-04,613.0,0.0,0.0,NULL,NULL,0.0
38,2019-04-05,613.0,0.0,0.0,NULL,NULL,0.0
39,2019-04-06,613.0,0.0,0.0,NULL,NULL,0.0
40,2019-04-07,613.0,0.0,0.0,NULL,NULL,0.0
41,2019-04-08,613.0,0.0,0.0,NULL,NULL,0.0
42,2019-04-09,613.0,1.0,0.0,24,156,1.0
43,2019-04-10,613.0,0.0,0.0,NULL,NULL,0.0
44,2019-04-11,613.0,0.0,0.0,NULL,NULL,0.0
45,2019-04-12,613.0,0.0,0.0,NULL,NULL,0.0
46,2019-04-13,613.0,1.0,0.0,26,128,1.0
47,2019-04-14,613.0,1.0,0.0,29,158,2.0
48,2019-04-15,613.0,0.0,0.0,NULL,NULL,0.0
49,2019-04-16,613.0,0.0,0.0,NULL,NULL,0.0
50,2019-04-17,613.0,1.0,0.0,22,161,4.0
51,2019-04-18,613.0,0.0,0.0,NULL,NULL,0.0
52,2019-04-19,613.0,1.0,0.0,24,157,1.0
53,2019-04-20,613.0,0.0,0.0,NULL,NULL,0.0
54,2019-04-21,613.0,0.0,0.0,NULL,NULL,0.0
55,2019-04-22,613.0,0.0,0.0,NULL,NULL,0.0
56,2019-04-23,613.0,0.0,0.0,NULL,NULL,0.0
57,2019-04-24,613.0,0.0,0.0,NULL,NULL,0.0
58,2019-04-25,613.0,0.0,0.0,NULL,NULL,0.0
59,2019-04-26,613.0,0.0,0.0,NULL,NULL,0.0
60,2019-04-27,613.0,0.0,0.0,NULL,NULL,0.0
61,2019-04-28,613.0,0.0,0.0,NULL,NULL,0.0
62,2019-04-29,613.0,0.0,0.0,NULL,NULL,0.0
63,2019-04-30,613.0,0.0,0.0,NULL,NULL,0.0
64,2019-05-01,613.0,0.0,0.0,NULL,NULL,0.0
65,2019-05-02,613.0,0.0,0.0,NULL,NULL,0.0
66,2019-05-03,613.0,0.0,0.0,NULL,NULL,0.0
67,2019-05-04,613.0,0.0,0.0,NULL,NULL,0.0
68,2019-05-05,613.0,0.0,0.0,NULL,NULL,0.0
69,2019-05-06,613.0,0.0,0.0,NULL,NULL,0.0
70,2019-05-07,613.0,0.0,0.0,NULL,NULL,0.0
71,2019-05-08,613.0,0.0,0.0,NULL,NULL,0.0
72,2019-05-09,613.0,0.0,0.0,NULL,NULL,0.0
73,2019-05-10,613.0,0.0,0.0,NULL,NULL,0.0
74,2019-05-11,613.0,0.0,0.0,NULL,NULL,0.0
75,2019-05-12,613.0,0.0,0.0,NULL,NULL,0.0
76,2019-05-13,613.0,0.0,0.0,NULL,NULL,0.0
77,2019-05-14,613.0,0.0,0.0,NULL,NULL,0.0
78,2019-05-15,613.0,0.0,0.0,NULL,NULL,0.0
79,2019-05-16,613.0,0.0,0.0,NULL,NULL,0.0
