,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-07-03,0.0,3.0,1400.0,15,97,7.0
1,2019-07-04,0.0,1.0,1818.682866,20,133,1.0
2,2019-07-08,0.0,1.0,500.0,24,129,1.0
3,2019-07-10,0.0,3.0,892.026426,16,97,3.0
4,2019-07-11,0.0,3.0,440.0,17,103,4.0
5,2019-07-12,0.0,2.0,2500.0,20,112,4.0
6,2019-07-13,0.0,3.0,0.0,14,94,7.0
7,2019-07-14,0.0,2.0,0.0,17,106,24.0
8,2019-07-15,0.0,6.0,5878.0,13,83,144.0
9,2019-07-16,0.0,4.0,50.0,13,87,175.0
10,2019-07-17,0.0,4.0,130.0,17,89,40.0
11,2019-07-18,82.06,3.0,60.0,17,94,219.0
12,2019-07-19,82.06,1.0,0.0,20,129,3.0
13,2019-07-20,82.06,1.0,0.0,22,129,4.0
14,2019-07-21,82.06,1.0,0.0,23,132,4.0
15,2019-07-22,82.06,1.0,0.0,19,125,4.0
16,2019-07-23,82.06,1.0,0.0,22,128,4.0
17,2019-07-24,82.06,2.0,0.0,20,109,8.0
18,2019-07-25,82.06,1.0,0.0,25,128,4.0
19,2019-07-26,82.06,1.0,0.0,23,118,5.0
20,2019-07-27,82.06,1.0,0.0,22,112,3.0
21,2019-07-28,82.06,1.0,0.0,21,115,4.0
22,2019-07-29,82.06,1.0,0.0,22,116,4.0
23,2019-07-30,82.06,1.0,0.0,18,112,4.0
24,2019-07-31,82.06,1.0,0.0,20,119,4.0
25,2019-08-01,82.06,1.0,0.0,22,115,4.0
26,2019-08-02,82.06,1.0,0.0,21,115,4.0
27,2019-08-03,82.06,1.0,0.0,19,122,4.0
28,2019-08-04,82.06,1.0,0.0,21,118,5.0
29,2019-08-05,82.06,1.0,0.0,21,118,4.0
30,2019-08-06,82.06,1.0,0.0,20,120,4.0
31,2019-08-07,82.06,1.0,0.0,21,123,4.0
32,2019-08-08,82.06,1.0,0.0,24,111,4.0
33,2019-08-09,82.06,1.0,0.0,23,111,4.0
34,2019-08-10,82.06,1.0,0.0,21,109,4.0
35,2019-08-11,82.06,2.0,0.0,22,102,5.0
36,2019-08-12,82.06,1.0,0.0,28,122,4.0
37,2019-08-13,82.06,1.0,0.0,20,110,5.0
38,2019-08-14,82.06,1.0,0.0,20,106,4.0
39,2019-08-15,82.06,1.0,0.0,21,110,4.0
40,2019-08-16,82.06,1.0,0.0,20,114,4.0
41,2019-08-17,82.06,1.0,0.0,18,110,5.0
42,2019-08-18,82.06,1.0,0.0,20,104,4.0
43,2019-08-19,82.06,1.0,0.0,20,105,4.0
44,2019-08-20,82.06,1.0,0.0,25,123,3.0
45,2019-08-21,82.06,1.0,0.0,21,117,5.0
46,2019-08-22,82.06,1.0,0.0,21,112,5.0
47,2019-08-23,82.06,1.0,0.0,19,105,4.0
48,2019-08-24,82.06,1.0,0.0,24,103,4.0
49,2019-08-25,82.06,1.0,0.0,21,107,4.0
50,2019-08-26,82.06,1.0,0.0,19,117,4.0
51,2019-08-27,82.06,1.0,0.0,22,113,5.0
52,2019-08-28,82.06,1.0,0.0,19,105,4.0
53,2019-08-29,82.06,1.0,0.0,21,113,3.0
54,2019-08-30,82.06,1.0,0.0,21,114,4.0
55,2019-08-31,82.06,1.0,0.0,20,113,5.0
56,2019-09-01,82.06,2.0,0.0,17,102,5.0
57,2019-09-02,82.06,1.0,0.0,22,112,5.0
58,2019-09-03,82.06,1.0,0.0,23,124,4.0
59,2019-09-04,82.06,1.0,0.0,25,124,4.0
60,2019-09-05,82.06,1.0,0.0,25,119,5.0
61,2019-09-06,82.06,1.0,0.0,23,120,4.0
62,2019-09-07,82.06,2.0,0.0,22,99,8.0
63,2019-09-08,82.06,1.0,0.0,23,125,5.0
64,2019-09-09,82.06,1.0,0.0,25,117,4.0
65,2019-09-10,82.06,1.0,0.0,26,120,4.0
66,2019-09-11,82.06,2.0,0.0,22,99,5.0
67,2019-09-12,82.06,1.0,0.0,24,126,5.0
68,2019-09-13,82.06,1.0,0.0,22,110,4.0
69,2019-09-14,82.06,3.0,0.0,18,84,18.0
70,2019-09-15,82.06,1.0,0.0,21,109,5.0
71,2019-09-16,82.06,1.0,0.0,23,117,5.0
72,2019-09-17,81.19,2.0,0.0,20,98,25.0
73,2019-09-18,81.19,1.0,0.0,22,106,5.0
74,2019-09-19,81.19,1.0,0.0,21,112,4.0
75,2019-09-20,81.19,1.0,0.0,20,121,5.0
76,2019-09-21,81.19,1.0,0.0,21,114,4.0
77,2019-09-22,80.86,1.0,0.0,19,116,5.0
78,2019-09-23,80.86,2.0,0.0,20,106,9.0
79,2019-09-24,80.86,1.0,0.0,19,121,5.0
80,2019-09-25,80.86,1.0,0.0,20,127,4.0
81,2019-09-26,80.86,1.0,0.0,20,123,5.0
82,2019-09-27,80.86,1.0,0.0,21,125,4.0
83,2019-09-28,80.86,1.0,0.0,22,112,5.0
84,2019-09-29,80.86,1.0,0.0,22,121,4.0
85,2019-09-30,80.86,1.0,0.0,22,122,4.0
86,2019-10-01,80.86,1.0,0.0,21,131,5.0
87,2019-10-02,80.86,1.0,0.0,27,128,4.0
88,2019-10-03,80.86,1.0,0.0,22,127,4.0
89,2019-10-04,80.86,1.0,0.0,21,123,4.0
90,2019-10-05,80.86,1.0,0.0,22,126,5.0
91,2019-10-06,80.86,1.0,0.0,24,131,4.0
92,2019-10-07,80.86,1.0,0.0,21,126,4.0
93,2019-10-08,80.86,1.0,0.0,22,129,4.0
94,2019-10-09,80.86,1.0,0.0,23,134,5.0
95,2019-10-10,80.86,1.0,0.0,23,125,4.0
96,2019-10-11,80.86,2.0,0.0,18,113,5.0
97,2019-10-12,80.86,1.0,0.0,20,124,4.0
98,2019-10-13,80.86,1.0,0.0,22,120,5.0
99,2019-10-14,80.86,1.0,0.0,22,125,4.0
100,2019-10-15,80.86,1.0,0.0,24,129,4.0
101,2019-10-16,80.86,1.0,0.0,17,116,4.0
102,2019-10-17,80.86,1.0,0.0,21,128,5.0
103,2019-10-18,80.86,1.0,0.0,24,138,4.0
104,2019-10-19,80.86,1.0,0.0,19,126,5.0
105,2019-10-20,80.86,2.0,0.0,17,102,5.0
106,2019-10-21,55.04,5.0,0.0,14,89,96.0
107,2019-10-22,26.13,2.0,0.0,17,106,225.0
108,2019-10-23,26.13,4.0,0.0,16,93,26.0
109,2019-10-24,24.07,2.0,0.0,19,112,21.0
110,2019-10-25,24.07,2.0,0.0,20,114,5.0
111,2019-10-26,24.07,1.0,0.0,24,123,4.0
112,2019-10-27,24.07,2.0,0.0,20,111,7.0
113,2019-10-28,24.07,1.0,0.0,19,125,4.0
114,2019-10-29,24.07,2.0,0.0,20,110,8.0
115,2019-10-30,24.07,1.0,0.0,21,116,5.0
116,2019-10-31,24.07,1.0,0.0,22,119,4.0
117,2019-11-01,24.07,3.0,0.0,17,103,7.0
118,2019-11-02,24.07,2.0,0.0,21,114,8.0
119,2019-11-03,24.07,1.0,0.0,24,131,5.0
120,2019-11-04,24.07,2.0,0.0,21,118,6.0
121,2019-11-05,24.07,2.0,0.0,21,116,6.0
122,2019-11-06,24.07,1.0,0.0,22,137,4.0
123,2019-11-07,24.07,1.0,0.0,20,120,4.0
124,2019-11-08,24.07,1.0,0.0,23,129,4.0
125,2019-11-09,20.31,3.0,0.0,19,110,43.0
126,2019-11-10,20.31,1.0,0.0,20,125,4.0
127,2019-11-11,20.31,2.0,0.0,19,120,5.0
128,2019-11-12,20.31,2.0,0.0,20,113,7.0
129,2019-11-13,20.31,2.0,0.0,19,112,6.0
130,2019-11-14,20.31,1.0,0.0,22,121,4.0
131,2019-11-15,20.31,1.0,0.0,22,123,4.0
132,2019-11-16,20.31,1.0,0.0,20,118,5.0
133,2019-11-17,20.31,1.0,0.0,21,137,4.0
134,2019-11-18,17.24,3.0,0.0,18,103,37.0
135,2019-11-19,17.24,1.0,0.0,20,129,5.0
136,2019-11-20,17.24,1.0,0.0,20,124,4.0
137,2019-11-21,17.24,1.0,0.0,18,117,4.0
138,2019-11-22,17.24,1.0,0.0,20,127,5.0
139,2019-11-23,17.24,1.0,0.0,19,120,4.0
140,2019-11-24,17.24,1.0,0.0,20,129,5.0
141,2019-11-25,17.24,1.0,0.0,19,127,4.0
