,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-01-04,0.0,2.0,888.0,21,67,110.0
1,2019-01-05,0.0,3.0,6228.0,19,63,14.0
2,2019-01-06,0.0,1.0,988.0,24,76,2.0
3,2019-01-07,0.0,3.0,966.0,22,67,9.0
4,2019-01-08,0.0,6.0,16903.0,15,54,263.0
5,2019-01-09,0.0,3.0,2932.0,21,69,22.0
6,2019-01-10,0.0,6.0,7465.0,21,58,34.0
7,2019-01-11,0.0,7.0,11836.0,19,58,49.0
8,2019-01-12,0.0,1.0,1924.0,24,73,8.0
9,2019-01-14,0.0,2.0,2954.0,27,79,16.0
10,2019-01-15,0.0,1.0,100.0,25,78,1.0
11,2019-01-16,0.0,2.0,1089.0,24,70,5.0
12,2019-01-17,0.0,1.0,1688.0,27,80,4.0
13,2019-01-18,0.0,7.0,6941.0,18,56,30.0
14,2019-01-19,0.0,5.0,7455.0,20,62,29.0
15,2019-01-20,0.0,6.0,7607.0,19,56,22.0
16,2019-01-21,1529.99,11.0,9433.0,20,54,32.0
17,2019-01-22,2917.99,3.0,2276.0,25,68,262.0
18,2019-01-23,1449.99,5.0,2955.0,19,58,13.0
19,2019-01-24,3425.99,2.0,1976.0,28,76,4.0
20,2019-01-25,0.99,1.0,0.0,27,85,3.0
21,2019-01-26,3176.99,3.0,3176.0,19,65,14.0
22,2019-01-27,4997.99,3.0,2709.0,22,65,8.0
23,2019-01-28,5097.99,1.0,100.0,24,77,1.0
24,2019-01-29,5297.99,1.0,500.0,25,78,3.0
25,2019-01-30,107.99,2.0,988.0,28,80,3.0
26,2019-01-31,440.99,1.0,333.0,26,82,1.0
27,2019-02-02,1961.99,2.0,2956.0,22,71,11.0
28,2019-02-04,2561.99,1.0,1488.0,26,80,6.0
29,2019-02-05,2561.99,1.0,888.0,27,82,1.0
30,2019-02-07,5215.99,1.0,2954.0,25,75,13.0
31,2019-02-08,5715.99,1.0,1688.0,25,76,6.0
32,2019-02-09,0.99,2.0,988.0,24,70,3.0
33,2019-02-11,888.99,1.0,888.0,31,87,1.0
34,2019-02-13,1221.99,1.0,1221.0,29,90,2.0
35,2019-02-15,1821.99,3.0,1488.0,22,81,7.0
36,2019-02-16,2987.99,1.0,1466.0,26,87,7.0
37,2019-02-17,0.99,2.0,888.0,23,77,2.0
38,2019-03-20,0.99,0.0,0.0,NULL,NULL,0.0
39,2019-03-21,0.99,0.0,0.0,NULL,NULL,0.0
40,2019-03-22,0.99,0.0,0.0,NULL,NULL,0.0
41,2019-03-23,0.99,0.0,0.0,NULL,NULL,0.0
42,2019-03-24,0.99,0.0,0.0,NULL,NULL,0.0
43,2019-03-25,0.99,0.0,0.0,NULL,NULL,0.0
44,2019-03-26,0.99,0.0,0.0,NULL,NULL,0.0
45,2019-03-27,0.99,0.0,0.0,NULL,NULL,0.0
46,2019-03-28,0.99,0.0,0.0,NULL,NULL,0.0
47,2019-03-29,0.99,0.0,0.0,NULL,NULL,0.0
48,2019-03-30,0.99,0.0,0.0,NULL,NULL,0.0
49,2019-03-31,0.99,0.0,0.0,NULL,NULL,0.0
50,2019-04-01,0.99,0.0,0.0,NULL,NULL,0.0
51,2019-04-02,0.99,0.0,0.0,NULL,NULL,0.0
52,2019-04-03,0.99,0.0,0.0,NULL,NULL,0.0
53,2019-04-04,0.99,0.0,0.0,NULL,NULL,0.0
54,2019-04-05,0.99,0.0,0.0,NULL,NULL,0.0
55,2019-04-06,0.99,0.0,0.0,NULL,NULL,0.0
56,2019-04-07,0.99,0.0,0.0,NULL,NULL,0.0
57,2019-04-08,0.99,0.0,0.0,NULL,NULL,0.0
58,2019-04-09,0.99,0.0,0.0,NULL,NULL,0.0
59,2019-04-10,0.99,0.0,0.0,NULL,NULL,0.0
60,2019-04-11,0.99,1.0,0.0,29,167,461.0
61,2019-04-12,0.99,5.0,2865.0,21,119,736.0
62,2019-04-13,0.99,4.0,1606.0,20,124,1038.0
63,2019-04-14,0.99,3.0,1170.0,21,130,496.0
64,2019-04-15,0.99,2.0,200.0,21,141,1008.0
65,2019-04-16,0.99,11.0,10783.5,16,103,1729.0
66,2019-04-17,0.99,32.0,39253.2,12,79,2397.0
67,2019-04-18,0.99,39.0,48714.15,11,72,2369.0
68,2019-04-19,0.99,36.0,73946.3,12,73,1915.0
69,2019-04-20,0.99,43.0,68112.7,10,67,1347.0
70,2019-04-21,0.99,39.0,44187.2,10,69,1052.0
71,2019-04-22,0.99,41.0,47324.35,10,68,777.0
72,2019-04-23,0.99,31.0,38328.2,12,70,372.0
73,2019-04-24,0.99,49.0,34108.65,9,63,921.0
74,2019-04-25,0.99,33.0,39656.6,12,72,934.0
75,2019-04-26,0.99,28.0,19448.2,12,70,243.0
76,2019-04-27,0.99,25.0,14797.3,12,73,557.0
77,2019-04-28,0.99,25.0,14800.9,13,74,143.0
78,2019-04-29,0.99,25.0,27056.5,13,75,135.0
79,2019-04-30,0.99,25.0,24750.45,12,72,186.0
80,2019-05-01,0.99,22.0,11974.0,12,76,533.0
81,2019-05-02,0.99,24.0,28526.0,13,74,670.0
82,2019-05-03,0.99,23.0,21702.65,13,77,246.0
83,2019-05-04,0.99,22.0,17215.4,13,76,271.0
84,2019-05-05,0.99,24.0,48620.35,12,75,978.0
85,2019-05-06,0.99,28.0,25922.7,12,68,295.0
86,2019-05-07,0.99,27.0,47112.8,12,70,777.0
87,2019-05-08,0.99,21.0,18115.2,14,71,168.0
88,2019-05-09,0.99,16.0,9705.7,14,77,122.0
89,2019-05-10,0.99,30.0,18851.3,12,62,194.0
90,2019-05-11,0.99,22.0,20270.2,12,66,326.0
91,2019-05-12,0.99,17.0,8324.0,11,61,306.0
92,2019-05-13,48961.06,33.0,64933.45,11,61,1022.0
93,2019-05-14,46693.91,38.0,43107.25,11,59,499.0
94,2019-05-15,47643.46,34.0,36215.95,11,61,400.0
95,2019-05-16,48345.06,27.0,12817.0,11,63,152.0
96,2019-05-17,64331.06,35.0,52906.25,11,60,342.0
97,2019-05-18,58170.04,31.0,12876.0,11,61,184.0
98,2019-05-19,48415.04,29.0,11493.95,11,61,154.0
99,2019-05-20,51602.94,32.0,13453.15,11,60,115.0
100,2019-05-21,58578.54,32.0,19148.5,11,58,220.0
