,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-07-16,0,3.0,30.0,18,100,42.0
1,2019-07-17,0,5.0,60.0,14,83,757.0
2,2019-07-18,0,28.0,150.0,9,55,792.0
3,2019-07-19,0,64.0,345.0,5,42,213.0
4,2019-07-20,0,19.0,15.0,11,62,102.0
5,2019-07-21,0,9.0,318.472223,12,73,66.0
6,2019-07-22,0,4.0,150.0,15,95,74.0
7,2019-07-23,0,8.0,210.0,12,73,106.0
8,2019-07-24,0,25.0,268.623404,10,56,171.0
9,2019-07-25,0,12.0,600.0,9,66,109.0
10,2019-07-26,0,8.0,475.0,11,66,229.0
11,2019-07-27,0,11.0,1135.343057,10,58,147.0
12,2019-07-28,0,11.0,315.0,11,62,80.0
13,2019-07-29,0,8.0,57.0,11,62,170.0
14,2019-07-30,0,4.0,315.0,13,80,578.0
15,2019-07-31,0,10.0,370.0,10,63,90.0
16,2019-08-01,0,9.0,394.760626,10,64,88.0
17,2019-08-02,0,8.0,617.963855,10,64,125.0
18,2019-08-03,0,10.0,1264.699836,12,67,158.0
19,2019-08-04,0,6.0,898.994393,12,75,127.0
20,2019-08-05,0,13.0,747.321113,10,63,138.0
21,2019-08-06,0,10.0,1230.032623,10,64,143.0
22,2019-08-07,0,9.0,809.202652,12,69,137.0
23,2019-08-08,0,10.0,255.0,10,64,86.0
24,2019-08-09,0,9.0,661.217448,12,68,73.0
25,2019-08-10,0,6.0,209.0,14,73,67.0
26,2019-08-11,0,6.0,389.517073,11,68,88.0
27,2019-08-12,0,4.0,30.0,15,79,54.0
28,2019-08-13,0,5.0,230.0,16,77,1015.0
29,2019-08-14,0,4.0,215.0,13,78,302.0
30,2019-08-15,0,5.0,254.0,14,77,2129.0
31,2019-08-16,0,14.0,422.665858,10,53,2993.0
32,2019-08-17,0,10.0,505.887449,11,61,410.0
33,2019-08-18,0,14.0,824.423631,11,55,93.0
34,2019-08-19,0,10.0,498.581599,10,57,77.0
35,2019-08-20,0,11.0,337.570834,11,60,48.0
36,2019-08-21,0,5.0,45.0,16,77,20.0
37,2019-08-22,0,5.0,90.0,15,78,23.0
38,2019-08-23,0,6.0,262.994494,14,68,32.0
39,2019-08-24,0,9.0,358.999918,12,60,62.0
40,2019-08-25,0,10.0,160.0,11,55,38.0
41,2019-08-26,0,9.0,608.999037,13,65,68.0
42,2019-08-27,0,10.0,72.0,13,61,42.0
43,2019-08-28,0,7.0,15.0,14,67,22.0
44,2019-08-29,0,4.0,150.0,15,81,29.0
45,2019-08-30,0,5.0,0.0,14,70,19.0
46,2019-08-31,0,6.0,146.0,14,71,28.0
47,2019-09-01,0,5.0,15.0,15,71,35.0
48,2019-09-02,0,2.0,0.0,19,98,13.0
49,2019-09-03,0,3.0,63.633098,19,94,20.0
50,2019-09-04,0,4.0,361.681547,20,92,34.0
51,2019-09-05,0,7.0,320.0,15,70,42.0
52,2019-09-06,0,10.0,576.994989,14,66,83.0
53,2019-09-07,0,6.0,527.329514,14,70,71.0
54,2019-09-08,0,9.0,10429.616845,14,66,345.0
55,2019-09-09,0,13.0,7587.507318,16,61,146.0
56,2019-09-10,0,10.0,2638.414649,16,62,113.0
57,2019-09-11,0,8.0,1218.699144,16,70,66.0
