,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2018-11-12,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-11-17,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-11-19,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-11-22,0.0,0.0,0.0,NULL,NULL,0.0
4,2018-11-29,0.0,0.0,0.0,NULL,NULL,0.0
5,2018-11-30,0.0,0.0,0.0,NULL,NULL,0.0
6,2018-12-01,0.0,0.0,0.0,NULL,NULL,0.0
7,2018-12-09,0.0,0.0,0.0,NULL,NULL,0.0
8,2018-12-13,0.0,0.0,0.0,NULL,NULL,0.0
9,2018-12-20,0.0,0.0,0.0,NULL,NULL,0.0
10,2018-12-28,0.0,0.0,0.0,NULL,NULL,0.0
11,2018-12-29,32.14,0.0,0.0,NULL,NULL,0.0
12,2018-12-30,29.62,0.0,0.0,NULL,NULL,0.0
13,2018-12-31,26.15,0.0,0.0,NULL,NULL,0.0
14,2019-01-01,22.07,0.0,0.0,NULL,NULL,0.0
15,2019-01-02,17.08,0.0,0.0,NULL,NULL,0.0
16,2019-01-03,32.93,0.0,0.0,NULL,NULL,0.0
17,2019-01-04,28.53,0.0,0.0,NULL,NULL,0.0
18,2019-01-05,25.04,0.0,0.0,NULL,NULL,0.0
19,2019-01-06,37.53,0.0,0.0,NULL,NULL,0.0
20,2019-01-07,27.93,0.0,0.0,NULL,NULL,0.0
21,2019-01-08,10.94,0.0,0.0,NULL,NULL,0.0
22,2019-01-09,24.88,0.0,0.0,NULL,NULL,0.0
23,2019-01-10,23.09,0.0,0.0,NULL,NULL,0.0
24,2019-01-11,19.59,0.0,0.0,NULL,NULL,0.0
25,2019-01-12,14.87,0.0,0.0,NULL,NULL,0.0
26,2019-01-13,10.8,0.0,0.0,NULL,NULL,0.0
27,2019-01-14,7.16,0.0,0.0,NULL,NULL,0.0
28,2019-01-15,14.15,0.0,0.0,NULL,NULL,0.0
29,2019-01-16,4.82,0.0,0.0,NULL,NULL,0.0
30,2019-01-17,15.9,0.0,0.0,NULL,NULL,0.0
31,2019-01-18,26.59,0.0,0.0,NULL,NULL,0.0
32,2019-01-19,20.97,0.0,0.0,NULL,NULL,0.0
33,2019-01-20,0.0,0.0,0.0,NULL,NULL,0.0
34,2019-01-21,23.4,0.0,0.0,NULL,NULL,0.0
35,2019-01-22,17.9,0.0,0.0,NULL,NULL,0.0
36,2019-01-23,33.03,0.0,0.0,NULL,NULL,0.0
37,2019-01-24,28.09,0.0,0.0,NULL,NULL,0.0
38,2019-01-25,19.73,0.0,0.0,NULL,NULL,0.0
39,2019-01-26,13.14,0.0,0.0,NULL,NULL,0.0
40,2019-01-27,8.13,0.0,0.0,NULL,NULL,0.0
41,2019-01-28,0.0,0.0,0.0,NULL,NULL,0.0
42,2019-01-29,13.35,0.0,0.0,NULL,NULL,0.0
43,2019-01-30,6.6,0.0,0.0,NULL,NULL,0.0
44,2019-01-31,18.84,0.0,0.0,NULL,NULL,0.0
45,2019-02-01,13.0,0.0,0.0,NULL,NULL,0.0
46,2019-02-02,16.95,0.0,0.0,NULL,NULL,0.0
47,2019-02-03,10.85,0.0,0.0,NULL,NULL,0.0
48,2019-02-04,16.52,0.0,0.0,NULL,NULL,0.0
49,2019-02-05,12.43,0.0,0.0,NULL,NULL,0.0
50,2019-02-06,13.65,0.0,0.0,NULL,NULL,0.0
51,2019-02-07,17.02,0.0,0.0,NULL,NULL,0.0
52,2019-02-08,10.73,0.0,0.0,NULL,NULL,0.0
53,2019-02-09,21.21,0.0,0.0,NULL,NULL,0.0
54,2019-02-10,5.63,0.0,0.0,NULL,NULL,0.0
55,2019-02-11,6.4,0.0,0.0,NULL,NULL,0.0
56,2019-02-12,6.44,0.0,0.0,NULL,NULL,0.0
57,2019-02-13,8.83,0.0,0.0,NULL,NULL,0.0
58,2019-02-14,15.04,0.0,0.0,NULL,NULL,0.0
59,2019-02-15,28.52,0.0,0.0,NULL,NULL,0.0
60,2019-02-16,36.12,0.0,0.0,NULL,NULL,0.0
61,2019-02-17,43.25,0.0,0.0,NULL,NULL,0.0
62,2019-02-18,36.36,0.0,0.0,NULL,NULL,0.0
63,2019-02-19,31.67,0.0,0.0,NULL,NULL,0.0
64,2019-02-20,25.44,0.0,0.0,NULL,NULL,0.0
65,2019-02-21,19.43,0.0,0.0,NULL,NULL,0.0
66,2019-02-22,20.1,0.0,0.0,NULL,NULL,0.0
67,2019-02-23,0.0,0.0,0.0,NULL,NULL,0.0
68,2019-02-24,0.0,0.0,0.0,NULL,NULL,0.0
69,2019-02-25,24.3,0.0,0.0,NULL,NULL,0.0
70,2019-02-26,20.65,0.0,0.0,NULL,NULL,0.0
71,2019-02-27,12.48,0.0,0.0,NULL,NULL,0.0
72,2019-02-28,3.3,0.0,0.0,NULL,NULL,0.0
73,2019-03-01,0.0,0.0,0.0,NULL,NULL,0.0
74,2019-03-02,37.0,0.0,0.0,NULL,NULL,0.0
75,2019-03-03,29.07,0.0,0.0,NULL,NULL,0.0
76,2019-03-04,17.03,0.0,0.0,NULL,NULL,0.0
77,2019-03-05,11.62,0.0,0.0,NULL,NULL,0.0
78,2019-03-06,0.3,0.0,0.0,NULL,NULL,0.0
79,2019-03-07,23.72,1.0,0.0,27,78,4.0
80,2019-03-08,10.24,0.0,0.0,NULL,NULL,0.0
81,2019-03-09,2.55,0.0,0.0,NULL,NULL,0.0
82,2019-03-10,0.0,0.0,0.0,NULL,NULL,0.0
83,2019-03-11,7.56,0.0,0.0,NULL,NULL,0.0
84,2019-03-12,37.45,0.0,0.0,NULL,NULL,0.0
85,2019-03-13,29.63,0.0,0.0,NULL,NULL,0.0
86,2019-03-14,0.0,0.0,0.0,NULL,NULL,0.0
87,2019-03-15,0.0,0.0,0.0,NULL,NULL,0.0
88,2019-03-16,0.0,0.0,0.0,NULL,NULL,0.0
89,2019-03-17,0.0,1.0,0.0,25,84,4.0
90,2019-03-18,0.0,2.0,20.0,25,81,5.0
91,2019-03-19,0.0,2.0,1.0,24,86,5.0
92,2019-03-20,0.0,1.0,0.0,26,94,4.0
93,2019-03-21,0.0,1.0,0.0,27,88,3.0
94,2019-03-22,0.0,1.0,0.0,29,94,4.0
95,2019-03-23,0.0,1.0,0.0,27,100,4.0
96,2019-03-24,0.0,1.0,0.0,28,96,4.0
97,2019-03-25,0.0,1.0,0.0,26,103,4.0
98,2019-03-29,0.0,2.0,50.0,26,103,5.0
99,2019-03-30,0.0,1.0,0.0,26,100,4.0
100,2019-03-31,0.0,1.0,0.0,25,157,4.0
101,2019-04-01,0.0,1.0,0.0,25,162,4.0
102,2019-04-02,0.0,2.0,25.0,21,148,5.0
103,2019-04-03,0.0,1.0,0.0,25,159,4.0
104,2019-04-04,0.0,1.0,0.0,27,162,4.0
105,2019-04-05,0.0,1.0,0.0,26,156,4.0
106,2019-04-06,0.0,1.0,0.0,26,157,4.0
107,2019-04-07,0.0,2.0,20.0,23,142,5.0
108,2019-04-08,0.0,1.0,0.0,26,158,4.0
109,2019-04-09,0.0,2.0,50.0,21,147,5.0
110,2019-04-10,0.0,1.0,0.0,25,157,4.0
111,2019-04-11,0.0,2.0,0.0,22,150,5.0
112,2019-04-12,0.0,1.0,0.0,29,162,4.0
113,2019-04-13,0.0,1.0,0.0,24,154,4.0
114,2019-04-14,0.0,2.0,20.0,22,137,5.0
115,2019-04-15,0.0,1.0,0.0,24,158,4.0
116,2019-04-16,0.0,1.0,0.0,24,163,4.0
117,2019-04-17,0.0,1.0,0.0,22,161,4.0
118,2019-04-18,0.0,1.0,0.0,24,153,4.0
119,2019-04-19,0.0,1.0,0.0,24,157,4.0
120,2019-04-20,0.0,1.0,0.0,23,157,4.0
121,2019-04-21,0.0,1.0,0.0,27,162,5.0
122,2019-04-22,0.0,1.0,0.0,26,155,4.0
