,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-10-24,0.0,1.0,0.0,21,122,9.0
1,2019-10-25,0.0,5.0,76025.0,16,89,185.0
2,2019-10-26,0.0,39.0,2150721.0,8,55,26541.0
3,2019-10-27,0.0,57.0,4453837.0,6,44,56519.0
4,2019-10-28,205925.4,64.0,3043778.0,6,49,39289.0
5,2019-10-29,310362.1,63.0,3287540.0,6,43,51279.0
6,2019-10-30,316100.02,88.0,4967776.0,5,41,62381.0
7,2019-10-31,282555.25,97.0,8975858.0,5,44,73372.0
8,2019-11-01,37175.56,104.0,4859979.0,5,44,55187.0
9,2019-11-02,151024.58,75.0,5663579.0,6,49,40033.0
10,2019-11-03,107868.54,60.0,2825636.0,7,52,30337.0
11,2019-11-04,1760409.76,58.0,2532508.0,7,51,26254.0
12,2019-11-05,1743757.69,404.0,8335310.62208,4,29,37107.0
13,2019-11-06,1841183.27,436.0,18625847.84896,3,26,77808.0
14,2019-11-07,1753585.95,438.0,9548445.0,3,27,81317.0
15,2019-11-08,1761338.91,436.0,15115318.0,3,27,79050.0
16,2019-11-09,1762380.19,428.0,8766119.0,3,27,72332.0
17,2019-11-10,1853608.14,426.0,15315294.0,3,27,69152.0
18,2019-11-11,1789601.79,437.0,15098711.0,3,28,60874.0
19,2019-11-12,1720156.82,443.0,14348283.0,3,27,49312.0
20,2019-11-13,1714563.03,409.0,25830863.0,3,28,49982.0
21,2019-11-14,1714988.13,400.0,19563696.0,3,27,40943.0
22,2019-11-15,1713086.61,405.0,17177360.0,3,26,38199.0
23,2019-11-16,1714003.73,403.0,19948241.0,3,27,42838.0
24,2019-11-17,1737273.61,401.0,16751236.0,3,27,37364.0
25,2019-11-18,1752415.08,405.0,10652470.0,3,26,26439.0
26,2019-11-19,1745806.45,402.0,15594320.0,3,27,36534.0
27,2019-11-20,1743566.38,393.0,14155249.0,3,26,37640.0
28,2019-11-21,1739142.75,422.0,11281027.0,3,26,61368.0
29,2019-11-22,1736281.42,407.0,11553554.0,3,28,64011.0
30,2019-11-23,1736726.52,404.0,11140622.0,3,27,57550.0
31,2019-11-24,1737796.22,408.0,10993318.0,3,26,55120.0
32,2019-11-25,1729223.47,409.0,9982850.0,3,27,51877.0
33,2019-11-26,1721181.2,407.0,7495870.0,3,29,39757.0
34,2019-11-27,1718980.29,202.0,4846730.0,3,33,26713.0
35,2019-11-28,1754568.8,116.0,1851491.0,5,41,15318.0
36,2019-11-29,1751270.96,45.0,1397700.0,6,56,13301.0
37,2019-11-30,1748195.56,47.0,1678570.0,6,53,13643.0
38,2019-12-01,1744890.96,46.0,1037240.0,6,54,7304.0
39,2019-12-02,1740169.24,7.0,1860.0,13,93,190.0
40,2019-12-03,1740356.86,5.0,4340.0,13,90,362.0
41,2019-12-04,1740360.0,9.0,1620.0,12,84,173.0
42,2019-12-05,1739028.66,7.0,9525.0,12,89,712.0
43,2019-12-06,1738613.46,6.0,7330.0,13,85,72.0
44,2019-12-07,1739285.71,7.0,21351.0,12,85,1434.0
45,2019-12-08,1739342.94,10.0,2726.0,11,80,240.0
46,2019-12-09,1737061.38,8.0,1080.0,12,84,59.0
47,2019-12-10,1735694.19,5.0,3860.0,12,86,38.0
48,2019-12-11,1735754.62,4.0,304.0,15,96,30.0
49,2019-12-12,1735862.41,3.0,140.0,14,104,16.0
50,2019-12-13,1735865.69,4.0,20.0,13,90,7.0
51,2019-12-14,1747017.46,4.0,19460.0,14,92,26.0
52,2019-12-15,1751601.22,7.0,9520.0,12,83,41.0
53,2019-12-16,1705993.88,9.0,286.0,12,84,34.0
54,2019-12-17,1706716.89,8.0,7420.0,12,84,290.0
55,2019-12-18,1705591.11,8.0,5105.0,11,90,365.0
56,2019-12-19,1705599.83,4.0,140.0,15,100,14.0
57,2019-12-20,1705616.87,3.0,77.0,17,106,10.0
58,2019-12-21,1705581.42,6.0,280.0,13,86,53.0
59,2019-12-22,1705589.72,4.0,530.0,15,95,46.0
60,2019-12-23,1705577.6,2.0,120.0,17,116,15.0
61,2019-12-24,1705577.18,4.0,80.0,14,98,13.0
62,2019-12-25,1705577.18,1.0,0.0,18,123,1.0
63,2019-12-26,1705577.14,1.0,0.0,20,123,1.0
64,2019-12-27,1705577.05,1.0,0.0,18,130,1.0
65,2019-12-28,1705577.05,0.0,0.0,NULL,NULL,0.0
66,2019-12-29,1705577.05,4.0,20.0,15,103,4.0
67,2019-12-30,1705577.01,4.0,140.0,15,102,25.0
68,2019-12-31,1705577.01,0.0,0.0,NULL,NULL,0.0
69,2020-01-01,1705576.84,3.0,20.0,15,106,5.0
70,2020-01-02,1705625.84,4.0,600.0,14,105,60.0
