,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-06-30,0.0,165.0,2180.00218,3,27,729.0
1,2019-07-01,0.0,162.0,1734.002948,3,31,970.0
2,2019-07-02,0.0,152.0,1726.00168,3,29,536.0
3,2019-07-03,0.0,129.0,1174.001462,4,34,434.0
4,2019-07-04,0.0,154.0,1708.002217,3,29,707.0
5,2019-07-05,0.0,112.0,945.001356,5,32,475.0
6,2019-07-06,0.0,97.0,2429.000995,4,33,401.0
7,2019-07-07,0.0,79.0,2358.000832,4,35,334.0
8,2019-07-08,255155.2,108.0,852.016197,4,34,464.0
9,2019-07-09,257676.12,78.0,2570.000828,4,37,294.0
10,2019-07-10,257712.12,1.0,36.000021,24,126,5.0
11,2019-07-11,257806.13,12.0,94.00019,12,72,88.0
12,2019-07-12,257861.13,7.0,55.000147,13,78,51.0
13,2019-07-13,257933.13,5.0,72.000139,11,82,40.0
14,2019-07-14,257980.13,4.0,39.000126,14,87,39.0
15,2019-07-15,265922.05,258.0,7948.004398,3,24,1616.0
16,2019-07-16,277299.88,287.0,11373.007494,3,22,2794.0
17,2019-07-17,286774.56,284.0,9425.01113,3,24,4053.0
18,2019-07-18,299613.18,295.0,12769.008626,2,26,3056.0
19,2019-07-19,62885.63,286.0,7473.005841,3,24,1974.0
20,2019-07-20,68144.11,273.0,5271.005491,3,25,1839.0
21,2019-07-21,72206.6,290.0,4169.006132,3,24,1982.0
22,2019-07-22,80035.1,260.0,7755.005991,3,23,2041.0
23,2019-07-23,86975.62,248.0,36043.005266,3,25,1592.0
24,2019-07-24,100825.2,259.0,13827.005921,3,22,1813.0
25,2019-07-25,116615.73,249.0,15765.006365,2,20,1999.0
26,2019-07-26,121064.4,233.0,4443.002702,2,17,717.0
27,2019-07-27,131294.11,182.0,10215.00252,2,19,630.0
28,2019-07-28,133170.84,184.0,1877.002513,2,22,721.0
29,2019-07-29,139433.47,198.0,6263.002671,2,19,708.0
30,2019-07-30,141947.14,189.0,2514.003095,2,20,763.0
31,2019-07-31,147955.88,173.0,6011.002546,2,18,702.0
32,2019-08-01,150412.58,198.0,2462.003217,2,18,863.0
33,2019-08-02,152566.35,198.0,2124.003126,2,18,834.0
34,2019-08-03,156357.18,154.0,3528.00253,2,21,714.0
35,2019-08-04,160857.85,191.0,4478.003174,2,19,822.0
36,2019-08-05,165685.57,198.0,4845.003238,2,20,794.0
37,2019-08-06,169145.18,232.0,3445.00415,2,17,785.0
38,2019-08-07,170813.96,165.0,1675.002397,2,21,661.0
39,2019-08-08,174575.78,164.0,3727.015836,2,18,685.0
40,2019-08-09,172910.51,156.0,2298.002862,3,23,733.0
41,2019-08-10,179454.26,162.0,2416.003187,3,20,717.0
42,2019-08-11,185997.08,183.0,4403.003783,2,18,1132.0
43,2019-08-12,190096.96,170.0,4075.003421,3,21,1024.0
44,2019-08-13,191626.88,148.0,1530.002957,3,23,1074.0
45,2019-08-14,54672.46,148.0,1995.003565,3,21,1137.0
46,2019-08-15,195171.64,140.0,1550.003031,3,19,994.0
47,2019-08-16,196256.57,104.0,1080.002647,4,23,882.0
48,2019-08-17,198151.45,112.0,1895.002661,3,24,772.0
49,2019-08-18,199141.39,86.0,925.001804,4,26,594.0
