,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-10-15,0.0,36.0,12440.0,9,58,228.0
1,2019-10-16,0.0,1.0,0.0,17,116,1.0
2,2019-10-17,478.94,0.0,0.0,NULL,NULL,0.0
3,2019-10-18,478.94,0.0,0.0,NULL,NULL,0.0
4,2019-10-19,478.94,0.0,0.0,NULL,NULL,0.0
5,2019-10-20,0.0,1.0,0.0,20,118,2.0
6,2019-10-21,0.0,42.0,553790.77861,8,53,986.0
7,2019-10-22,0.0,113.0,4687551.0,4,36,10945.0
8,2019-10-23,119452.9,106.0,3077030.0,4,36,6062.0
9,2019-10-24,0.0,24.0,90.0,10,68,39.0
10,2019-10-25,0.0,19.0,54744.173261,11,68,666.0
11,2019-10-26,0.0,135.0,18905250.0,4,33,11536.0
12,2019-10-27,0.0,155.0,16852330.0,4,33,12369.0
13,2019-10-28,296495.81,119.0,7482470.0,4,38,4479.0
14,2019-10-29,397703.03,234.0,24394630.0,3,24,14839.0
15,2019-10-30,242894.06,257.0,21258000.0,3,23,13509.0
16,2019-10-31,422818.62,262.0,22692650.0,3,25,12444.0
17,2019-11-01,533234.48,263.0,15413890.0,3,27,10081.0
18,2019-11-02,3262153.73,407.0,118325070.0,3,23,23449.0
19,2019-11-03,2249407.07,613.0,169834740.0,3,18,28431.0
20,2019-11-04,383540.75,675.0,30547350.0,3,14,15323.0
21,2019-11-05,317097.33,523.0,3191030.0,3,22,9817.0
22,2019-11-06,209789.26,409.0,907910.0,4,27,6297.0
23,2019-11-07,182757.69,316.0,230510.0,4,29,5440.0
24,2019-11-08,149210.29,268.0,130940.0,4,31,5051.0
25,2019-11-09,138895.82,219.0,68190.0,4,32,3150.0
26,2019-11-10,134813.06,126.0,0.0,5,41,776.0
27,2019-11-11,130785.8,83.0,0.0,6,48,123.0
28,2019-11-12,128883.62,93.0,0.0,6,46,138.0
29,2019-11-13,128670.19,58.0,0.0,6,49,94.0
30,2019-11-14,99515.72,39.0,10.0,8,60,68.0
31,2019-11-15,99418.62,28.0,0.0,9,60,56.0
32,2019-11-16,99036.7,37.0,0.0,8,56,63.0
33,2019-11-17,99028.61,19.0,0.0,11,66,42.0
34,2019-11-18,99005.97,11.0,0.0,15,86,33.0
35,2019-11-19,98976.7,15.0,0.0,14,72,36.0
36,2019-11-20,98970.3,11.0,0.0,15,80,33.0
37,2019-11-21,85260.3,15.0,0.0,13,72,36.0
38,2019-11-22,80974.94,14.0,0.0,13,75,37.0
39,2019-11-23,80972.85,8.0,0.0,15,86,31.0
40,2019-11-24,80939.43,13.0,0.0,14,75,37.0
41,2019-11-25,79704.81,9.0,0.0,14,89,28.0
42,2019-11-26,79704.81,6.0,0.0,13,91,23.0
43,2019-11-27,79645.44,5.0,0.0,14,94,14.0
44,2019-11-28,79645.44,7.0,0.0,14,91,33.0
45,2019-11-29,79644.1,9.0,0.0,13,88,44.0
46,2019-11-30,79643.13,6.0,0.0,13,93,28.0
47,2019-12-01,79628.23,5.0,0.0,13,94,16.0
48,2019-12-02,79628.0,9.0,0.0,12,86,39.0
49,2019-12-03,79597.76,9.0,0.0,11,83,31.0
50,2019-12-04,79597.76,5.0,0.0,15,94,9.0
51,2019-12-05,79366.78,9.0,0.0,11,84,32.0
52,2019-12-06,79365.95,8.0,0.0,11,83,24.0
53,2019-12-07,79362.49,6.0,0.0,13,89,22.0
54,2019-12-08,79362.34,5.0,0.0,13,90,25.0
55,2019-12-09,79362.27,9.0,0.0,11,81,20.0
56,2019-12-10,79346.26,8.0,0.0,11,83,9.0
57,2019-12-11,79346.26,3.0,0.0,16,104,20.0
58,2019-12-12,79346.26,4.0,0.0,13,96,9.0
59,2019-12-13,79346.26,7.0,0.0,12,82,37.0
60,2019-12-14,79346.26,5.0,0.0,13,89,20.0
61,2019-12-15,79346.26,6.0,0.0,14,89,20.0
62,2019-12-16,79322.72,5.0,0.0,14,90,21.0
63,2019-12-17,79322.72,5.0,0.0,15,96,19.0
64,2019-12-18,79322.72,5.0,0.0,15,96,20.0
65,2019-12-19,79320.35,6.0,0.0,13,91,7.0
66,2019-12-20,79320.35,5.0,0.0,15,98,31.0
67,2019-12-21,79320.17,4.0,0.0,16,94,19.0
68,2019-12-22,79318.21,7.0,0.0,14,86,21.0
69,2019-12-23,79297.4,10.0,0.0,11,86,26.0
70,2019-12-24,79292.09,5.0,0.0,13,94,20.0
71,2019-12-25,79292.09,3.0,0.0,16,106,17.0
72,2019-12-26,79292.09,5.0,0.0,13,102,20.0
73,2019-12-27,79292.09,3.0,0.0,15,103,17.0
74,2019-12-28,79292.09,2.0,0.0,17,114,17.0
75,2019-12-29,79292.09,3.0,0.0,17,107,18.0
76,2019-12-30,79292.09,6.0,0.0,13,93,21.0
77,2019-12-31,79292.09,5.0,0.0,12,91,20.0
78,2020-01-01,79292.09,4.0,0.0,13,101,19.0
79,2020-01-02,79292.09,5.0,0.0,13,99,21.0
