,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-09-30,0.0,1.0,0.0,22,122,1.0
1,2019-10-01,0.0,1.0,0.0,21,131,1.0
2,2019-10-02,0.0,2.0,0.0,20,111,4.0
3,2019-10-06,0.0,1.0,0.0,24,131,1.0
4,2019-10-10,0.0,1.0,0.0,23,125,1.0
5,2019-10-14,26531.95,0.0,0.0,NULL,NULL,0.0
6,2019-10-15,26531.95,0.0,0.0,NULL,NULL,0.0
7,2019-10-16,26531.95,0.0,0.0,NULL,NULL,0.0
8,2019-10-17,26531.95,0.0,0.0,NULL,NULL,0.0
9,2019-10-18,26531.95,0.0,0.0,NULL,NULL,0.0
10,2019-10-19,26531.52,1.0,0.0,19,126,1.0
11,2019-10-20,26531.52,0.0,0.0,NULL,NULL,0.0
12,2019-10-21,26531.52,0.0,0.0,NULL,NULL,0.0
13,2019-10-22,26531.52,0.0,0.0,NULL,NULL,0.0
14,2019-10-23,26531.52,0.0,0.0,NULL,NULL,0.0
15,2019-10-24,26531.52,0.0,0.0,NULL,NULL,0.0
16,2019-10-25,26531.52,0.0,0.0,NULL,NULL,0.0
17,2019-10-26,26531.52,0.0,0.0,NULL,NULL,0.0
18,2019-10-27,26523.94,1.0,0.0,22,124,1.0
19,2019-10-28,26523.94,0.0,0.0,NULL,NULL,0.0
20,2019-10-29,26554.23,1.0,48.154,22,131,1.0
21,2019-10-30,29059.61,2.0,2696.624,19,105,3.0
22,2019-10-31,28941.47,2.0,0.0,21,109,2.0
23,2019-11-01,28941.47,0.0,0.0,NULL,NULL,0.0
24,2019-11-02,31423.36,2.0,3252.455,21,114,8.0
25,2019-11-03,32280.18,6.0,1765.924,19,99,13.0
26,2019-11-04,32121.97,3.0,0.0,19,106,4.0
27,2019-11-05,32116.19,1.0,0.0,23,127,1.0
28,2019-11-06,32116.19,1.0,0.0,22,137,5.0
29,2019-11-07,32098.87,1.0,0.0,20,120,1.0
30,2019-11-08,32098.87,0.0,0.0,NULL,NULL,0.0
31,2019-11-09,32098.1,1.0,0.0,22,130,1.0
32,2019-11-10,32098.1,0.0,0.0,NULL,NULL,0.0
33,2019-11-11,32082.05,2.0,0.0,19,120,5.0
34,2019-11-12,32082.05,0.0,0.0,NULL,NULL,0.0
35,2019-11-13,32005.0,1.0,0.0,25,127,1.0
36,2019-11-14,32001.7,2.0,0.0,19,109,2.0
37,2019-11-15,31972.84,1.0,0.0,22,123,2.0
38,2019-11-16,31972.84,0.0,0.0,NULL,NULL,0.0
39,2019-11-17,32062.58,2.0,96.592,17,113,7.0
40,2019-11-18,32062.58,0.0,0.0,NULL,NULL,0.0
41,2019-11-19,32062.58,2.0,0.0,18,111,4.0
42,2019-11-20,31867.47,2.0,0.0,18,111,2.0
43,2019-11-21,31818.2,1.0,0.0,18,117,1.0
44,2019-11-22,31818.2,0.0,0.0,NULL,NULL,0.0
45,2019-11-23,31818.2,0.0,0.0,NULL,NULL,0.0
46,2019-11-24,31818.2,0.0,0.0,NULL,NULL,0.0
47,2019-11-25,31818.2,0.0,0.0,NULL,NULL,0.0
48,2019-11-26,31794.76,2.0,0.0,17,113,2.0
49,2019-11-27,31794.76,0.0,0.0,NULL,NULL,0.0
50,2019-11-28,31781.99,1.0,0.0,17,128,2.0
51,2019-11-29,31695.54,2.0,0.0,17,116,3.0
52,2019-11-30,31695.54,0.0,0.0,NULL,NULL,0.0
53,2019-12-01,31695.54,0.0,0.0,NULL,NULL,0.0
54,2019-12-02,31590.11,1.0,0.0,18,124,2.0
55,2019-12-03,31590.11,2.0,0.0,17,108,6.0
56,2019-12-04,31590.11,0.0,0.0,NULL,NULL,0.0
57,2019-12-05,31543.19,1.0,48.264,16,122,4.0
58,2019-12-06,31543.19,1.0,0.0,17,123,1.0
59,2019-12-07,31543.05,1.0,0.0,16,113,2.0
60,2019-12-08,31543.05,0.0,0.0,NULL,NULL,0.0
61,2019-12-09,31543.05,0.0,0.0,NULL,NULL,0.0
62,2019-12-10,31543.05,0.0,0.0,NULL,NULL,0.0
63,2019-12-11,31543.05,0.0,0.0,NULL,NULL,0.0
64,2019-12-12,31543.05,0.0,0.0,NULL,NULL,0.0
65,2019-12-13,31543.05,0.0,0.0,NULL,NULL,0.0
66,2019-12-14,31536.72,1.0,0.0,16,118,1.0
67,2019-12-15,31536.72,0.0,0.0,NULL,NULL,0.0
68,2019-12-16,31536.72,0.0,0.0,NULL,NULL,0.0
69,2019-12-17,31536.72,0.0,0.0,NULL,NULL,0.0
70,2019-12-18,31516.55,2.0,0.0,18,115,2.0
71,2019-12-19,31516.55,0.0,0.0,NULL,NULL,0.0
72,2019-12-20,31516.55,0.0,0.0,NULL,NULL,0.0
73,2019-12-21,31516.55,0.0,0.0,NULL,NULL,0.0
74,2019-12-22,31516.55,0.0,0.0,NULL,NULL,0.0
75,2019-12-23,31516.55,0.0,0.0,NULL,NULL,0.0
76,2019-12-24,31423.27,1.0,0.0,19,124,2.0
77,2019-12-25,31294.97,4.0,48.266,14,99,4.0
78,2019-12-26,31290.41,1.0,0.0,20,123,1.0
79,2019-12-27,31290.4,1.0,0.0,18,130,1.0
80,2019-12-28,31264.72,1.0,0.0,18,126,1.0
81,2019-12-29,31256.07,1.0,0.0,19,124,1.0
82,2019-12-30,31247.91,2.0,0.0,16,114,6.0
83,2019-12-31,31247.91,0.0,0.0,NULL,NULL,0.0
84,2020-01-01,31247.91,0.0,0.0,NULL,NULL,0.0
85,2020-01-02,31237.74,1.0,0.0,19,131,1.0
