,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-09-02,0.0,19.0,1752.0,10,48,486.0
1,2019-09-03,0.0,23.0,4535.0,11,49,841.0
2,2019-09-04,5280.07,24.0,6880.0,9,49,571.0
3,2019-09-05,6126.28,22.0,4805.0,10,53,476.0
4,2019-09-06,8936.62,29.0,8160.0,10,48,541.0
5,2019-09-07,9352.18,28.0,5335.0,9,44,493.0
6,2019-09-08,12205.69,24.0,13220.0,9,50,766.0
7,2019-09-09,14553.31,42.0,11055.0,7,40,751.0
8,2019-09-10,19281.03,46.0,11705.0,7,40,665.0
9,2019-09-11,19712.69,26.0,5880.0,11,48,424.0
10,2019-09-12,16385.36,24.0,8905.0,11,50,627.0
11,2019-09-13,18581.38,34.0,9440.0,10,45,575.0
12,2019-09-14,19950.97,25.0,7520.0,10,49,490.0
13,2019-09-15,20013.83,16.0,6540.0,13,59,411.0
14,2019-09-16,20526.28,23.0,6845.0,12,52,453.0
15,2019-09-17,23081.97,38.0,7875.0,8,42,616.0
16,2019-09-18,23925.93,50.0,6890.0,7,43,514.0
17,2019-09-19,26346.17,30.0,10730.0,11,54,714.0
18,2019-09-20,26881.9,19.0,9520.0,11,62,685.0
19,2019-09-21,27474.46,18.0,5400.0,11,60,284.0
20,2019-09-22,28827.41,18.0,6080.0,12,58,377.0
21,2019-09-23,30060.45,25.0,3730.0,11,54,259.0
22,2019-09-24,31362.36,27.0,7628.0,11,60,679.0
23,2019-09-25,31223.01,22.0,5567.5,12,64,390.0
24,2019-09-26,32884.27,29.0,7937.0,11,57,613.0
25,2019-09-27,33183.43,24.0,7374.0,10,58,567.0
26,2019-09-28,34406.43,21.0,8705.0,11,60,642.0
27,2019-09-29,36215.33,16.0,9409.0,11,64,757.0
28,2019-09-30,37994.64,29.0,9652.0,9,59,686.0
29,2019-10-01,40561.12,29.0,18592.0,10,60,1347.0
30,2019-10-02,40281.62,25.0,18335.0,10,60,1252.0
31,2019-10-03,40867.18,18.0,4110.0,10,65,331.0
32,2019-10-04,41281.3,21.0,2755.0,10,60,261.0
33,2019-10-05,41551.8,6.0,350.0,13,81,8.0
34,2019-10-06,41832.8,5.0,350.0,18,90,7.0
35,2019-10-07,41805.05,9.0,0.0,15,79,12.0
36,2019-10-08,41809.37,5.0,5.0,13,93,8.0
37,2019-10-09,41813.99,3.0,5.0,19,105,3.0
38,2019-10-10,41813.99,1.0,0.0,23,125,1.0
39,2019-10-11,41813.99,2.0,0.0,18,113,2.0
40,2019-10-12,41813.98,2.0,0.0,17,107,3.0
41,2019-10-13,42369.98,3.0,625.0,16,99,4.0
42,2019-10-14,42437.98,3.0,160.0,16,99,6.0
43,2019-10-15,42433.96,4.0,0.0,17,95,4.0
44,2019-10-16,42432.76,3.0,0.0,14,96,4.0
45,2019-10-17,42432.46,3.0,0.0,16,98,3.0
46,2019-10-18,42432.46,2.0,0.0,18,115,3.0
47,2019-10-19,42432.46,1.0,0.0,19,126,1.0
48,2019-10-20,42432.46,0.0,0.0,NULL,NULL,0.0
49,2019-10-21,42432.46,0.0,0.0,NULL,NULL,0.0
50,2019-10-22,42417.52,1.0,0.0,20,126,2.0
51,2019-10-23,42417.51,1.0,0.0,21,123,1.0
52,2019-10-24,42417.51,0.0,0.0,NULL,NULL,0.0
53,2019-10-25,42417.49,2.0,0.0,20,114,2.0
54,2019-10-26,42391.44,2.0,0.0,21,108,2.0
55,2019-10-27,42391.44,1.0,0.0,22,124,1.0
56,2019-10-28,42391.44,1.0,0.0,19,125,1.0
57,2019-10-29,42391.44,0.0,0.0,NULL,NULL,0.0
58,2019-10-30,42391.44,0.0,0.0,NULL,NULL,0.0
59,2019-10-31,42391.44,3.0,0.0,20,101,4.0
60,2019-11-01,42391.44,1.0,0.0,21,124,1.0
61,2019-11-02,42391.44,3.0,0.0,19,103,3.0
62,2019-11-03,42391.44,9.0,0.0,17,90,53.0
63,2019-11-04,42391.44,8.0,0.0,17,93,22.0
64,2019-11-05,42391.44,5.0,0.0,17,98,5.0
65,2019-11-06,42391.44,3.0,0.0,19,110,4.0
66,2019-11-07,42391.44,3.0,0.0,19,105,4.0
67,2019-11-08,42391.44,4.0,0.0,19,102,6.0
68,2019-11-09,42391.44,5.0,0.0,16,97,10.0
69,2019-11-10,42391.44,7.0,0.0,16,94,9.0
70,2019-11-11,42391.44,9.0,0.0,14,92,14.0
71,2019-11-12,337.96,8.0,0.0,17,89,14.0
72,2019-11-13,337.96,9.0,0.0,15,87,14.0
73,2019-11-14,337.96,8.0,0.0,16,85,15.0
74,2019-11-15,337.96,14.0,0.0,14,75,31.0
75,2019-11-16,337.96,10.0,0.0,14,82,20.0
76,2019-11-17,337.96,14.0,0.0,14,72,37.0
77,2019-11-18,337.96,14.0,0.0,13,76,29.0
78,2019-11-19,337.96,17.0,1735.0,13,69,701.0
79,2019-11-20,337.96,24.0,12894.0,10,64,1033.0
80,2019-11-21,337.96,30.0,11811.0,9,62,1054.0
81,2019-11-22,337.96,20.0,11840.0,11,67,891.0
82,2019-11-23,337.96,20.0,8090.0,12,69,710.0
83,2019-11-24,337.96,20.0,5849.0,11,68,552.0
84,2019-11-25,10897.62,18.0,8353.0,10,69,722.0
85,2019-11-26,13477.47,23.0,10762.0,9,66,965.0
86,2019-11-27,17778.59,24.0,12005.0,9,64,933.0
87,2019-11-28,19204.96,28.0,9098.0,8,64,999.0
88,2019-11-29,22442.58,26.0,11260.0,8,61,1149.0
89,2019-11-30,22841.67,25.0,8338.0,8,60,793.0
90,2019-12-01,3848.12,20.0,1785.0,9,68,300.0
91,2019-12-02,805.8,13.0,0.0,10,78,43.0
92,2019-12-03,825.98,16.0,0.0,9,71,41.0
93,2019-12-04,878.23,15.0,0.0,9,75,34.0
94,2019-12-05,947.52,29.0,5145.0,7,59,796.0
95,2019-12-06,9723.13,25.0,7777.0,8,62,851.0
96,2019-12-07,9842.39,37.0,7345.0,7,54,1087.0
97,2019-12-08,12314.74,34.0,9510.0,7,56,1222.0
98,2019-12-09,13429.15,29.0,9411.0,8,61,1177.0
99,2019-12-10,14984.42,38.0,10396.0,7,56,1263.0
100,2019-12-11,4355.55,37.0,9699.0,6,56,1083.0
101,2019-12-12,7053.33,31.0,10953.0,7,55,1256.0
102,2019-12-13,8014.74,28.0,10292.0,8,60,1176.0
103,2019-12-14,8244.17,27.0,7745.0,6,55,932.0
104,2019-12-15,11527.03,28.0,9639.0,7,58,1228.0
105,2019-12-16,13079.54,30.0,11173.0,6,60,1413.0
106,2019-12-17,4717.15,23.0,10252.0,7,66,1302.0
107,2019-12-18,5652.49,27.0,8912.0,7,64,1214.0
108,2019-12-19,7805.71,26.0,11783.0,7,62,1350.0
109,2019-12-20,8856.41,22.0,9410.0,8,69,1187.0
110,2019-12-21,9784.06,26.0,9151.0,6,61,1191.0
111,2019-12-22,11912.71,24.0,9250.0,8,66,1125.0
112,2019-12-23,14625.63,23.0,11177.0,9,72,1154.0
113,2019-12-24,16184.19,25.0,9707.0,8,69,1103.0
114,2019-12-25,19634.09,23.0,11603.0,8,64,1156.0
115,2019-12-26,20972.25,20.0,11121.0,8,72,1163.0
116,2019-12-27,5492.69,23.0,10942.0,8,68,1126.0
117,2019-12-28,5392.52,17.0,7750.0,9,72,965.0
118,2019-12-29,6395.94,19.0,8721.0,9,71,1002.0
119,2019-12-30,8531.81,18.0,10951.0,9,66,1198.0
