,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-01-27,1668.0,3.0,1668.0,22,65,86.0
1,2019-01-28,0.0,9.0,1476.0,16,55,246.0
2,2019-01-29,544.72,17.0,737.0,13,48,159.0
3,2019-01-30,695.23,16.0,726.0,15,49,157.0
4,2019-01-31,706.31,23.0,605.0,14,40,164.0
5,2019-02-01,2000.72,23.0,8272.0,13,42,206.0
6,2019-02-02,2060.96,16.0,770.0,14,45,32.0
7,2019-02-03,1916.96,111.0,1870.0,9,30,198.0
8,2019-02-04,1969.25,12.0,2970.0,17,48,68.0
9,2019-02-05,1905.25,134.0,770.0,9,30,155.0
10,2019-02-06,2087.79,192.0,9020.0,8,28,361.0
11,2019-02-07,1876.79,507.0,1100.0,8,25,529.0
12,2019-02-08,1647.85,217.0,3520.0,8,26,300.0
13,2019-02-09,1737.3,9.0,1320.0,16,55,33.0
14,2019-02-10,1945.59,16.0,6520.0,15,49,152.0
15,2019-02-11,2007.18,416.0,3400.0,8,24,487.0
16,2019-02-12,2138.79,608.0,2800.0,8,25,662.0
17,2019-02-13,2186.68,21.0,5800.0,11,44,149.0
18,2019-02-14,2281.59,24.0,3600.0,11,43,119.0
19,2019-02-15,2593.62,14.0,2400.0,16,56,56.0
20,2019-02-16,2637.17,16.0,3600.0,14,52,85.0
21,2019-02-17,2647.97,6.0,800.0,17,64,21.0
22,2019-02-18,2699.9,8.0,3100.0,18,67,86.0
23,2019-02-19,2777.98,8.0,2900.0,17,63,74.0
24,2019-02-20,2801.94,17.0,5500.0,14,55,171.0
25,2019-02-21,2801.94,12.0,2800.0,16,63,77.0
26,2019-02-22,2806.73,9.0,1800.0,17,65,52.0
27,2019-02-23,0.0,10.0,1500.0,16,60,34.0
28,2019-02-24,0.0,17.0,13100.0,14,51,277.0
29,2019-02-25,4214.09,4.0,200.0,19,78,7.0
30,2019-02-26,4214.09,3.0,500.0,23,83,12.0
31,2019-02-27,4519.68,5.0,1400.0,18,71,26.0
32,2019-02-28,4519.68,3.0,300.0,20,85,7.0
33,2019-03-01,4203.12,9.0,1900.0,17,68,43.0
34,2019-03-02,4491.79,11.0,1600.0,14,62,37.0
35,2019-03-03,4410.4,13.0,3700.0,14,61,79.0
36,2019-03-04,4433.17,13.0,2100.0,16,62,54.0
37,2019-03-05,4779.61,16.0,7505.0,15,63,168.0
38,2019-03-06,4254.34,24.0,5700.0,13,54,147.0
39,2019-03-07,4451.6,15.0,6400.0,14,64,144.0
40,2019-03-08,4443.93,7.0,1100.0,20,76,25.0
41,2019-03-09,4450.27,7.0,600.0,20,76,14.0
42,2019-03-10,4450.27,9.0,3500.0,19,70,74.0
43,2019-03-11,4462.58,7.0,5000.0,18,74,106.0
44,2019-03-12,4491.77,10.0,4900.0,15,67,102.0
45,2019-03-13,4494.18,4.0,700.0,21,85,15.0
46,2019-03-14,0.0,9.0,4500.0,16,70,104.0
47,2019-03-15,0.0,6.0,1400.0,18,79,31.0
48,2019-03-16,0.0,8.0,1200.0,17,77,27.0
49,2019-03-17,0.0,8.0,2100.0,17,79,45.0
50,2019-03-18,0.0,9.0,6300.0,17,79,135.0
51,2019-03-19,0.0,19.0,14900.0,13,67,403.0
52,2019-03-20,796.12,25.0,6900.0,15,68,174.0
53,2019-03-21,1141.62,32.0,6100.0,14,64,185.0
54,2019-03-22,2458.42,40.0,11000.0,15,65,259.0
55,2019-03-23,3380.71,36.0,6200.0,14,65,149.0
56,2019-03-24,4478.69,41.0,10600.0,15,69,278.0
57,2019-03-25,4810.76,32.0,6800.0,15,76,159.0
58,2019-03-26,5158.92,15.0,2300.0,16,91,51.0
59,2019-03-27,5538.7,27.0,3690.0,17,86,107.0
60,2019-03-28,5888.84,18.0,2690.0,17,88,95.0
61,2019-03-29,5930.52,21.0,2800.0,17,86,65.0
62,2019-03-30,6047.17,17.0,1500.0,16,86,45.0
63,2019-03-31,6258.58,15.0,6000.000008,17,104,111.0
64,2019-04-01,6998.86,24.0,4600.000003,15,89,97.0
65,2019-04-02,7060.43,10.0,3900.000003,17,110,64.0
66,2019-04-03,7470.65,18.0,3500.000005,16,99,74.0
67,2019-04-04,7726.95,13.0,1900.000006,17,102,47.0
68,2019-04-05,8271.4,14.0,3700.000005,16,95,80.0
69,2019-04-06,10009.0,13.0,4400.000001,16,99,55.0
70,2019-04-07,8443.96,4.0,625.0,19,126,28.0
71,2019-04-08,8445.12,7.0,800.000003,19,119,20.0
72,2019-04-09,7466.12,7.0,600.000004,18,114,16.0
73,2019-04-10,7466.12,4.0,200.000003,18,122,7.0
74,2019-04-11,7466.12,5.0,200.000002,20,120,6.0
75,2019-04-12,7625.75,10.0,1700.000006,15,104,26.0
76,2019-04-13,7756.44,9.0,1300.000004,17,104,30.0
77,2019-04-14,7800.68,7.0,700.000003,18,109,13.0
78,2019-04-15,7821.9,10.0,1000.000005,14,99,26.0
79,2019-04-16,7821.9,5.0,100.000004,20,124,6.0
80,2019-04-17,8021.9,8.0,550.000009,16,114,21.0
81,2019-04-18,7826.58,5.0,100.000003,18,121,7.0
82,2019-04-19,7897.54,5.0,400.000001,17,124,8.0
83,2019-04-20,7897.54,7.0,900.000004,17,112,22.0
84,2019-04-21,7897.54,1.0,1e-06,27,162,1.0
85,2019-04-22,7897.54,1.0,2e-06,26,155,2.0
86,2019-04-23,7897.54,1.0,0.0,26,122,4.0
87,2019-04-24,7897.54,0.0,0.0,NULL,NULL,0.0
88,2019-04-25,7897.54,1.0,0.0,31,170,4.0
89,2019-04-26,7897.54,2.0,100.0,22,133,2.0
90,2019-04-27,7897.54,1.0,1e-06,23,150,1.0
91,2019-04-28,7897.54,1.0,1e-06,26,160,1.0
92,2019-04-29,7897.54,2.0,2e-06,20,138,5.0
93,2019-04-30,7897.54,1.0,2e-06,25,147,2.0
94,2019-05-01,7897.54,0.0,0.0,NULL,NULL,0.0
95,2019-05-02,7897.54,0.0,0.0,NULL,NULL,0.0
96,2019-05-03,7897.54,1.0,3e-06,26,152,3.0
97,2019-05-04,7897.54,1.0,1e-06,27,149,1.0
98,2019-05-05,7897.54,1.0,7e-06,27,147,8.0
99,2019-05-06,7897.54,1.0,1e-06,24,146,1.0
100,2019-05-07,7997.54,2.0,100.000003,23,134,15.0
101,2019-05-08,7997.54,0.0,0.0,NULL,NULL,0.0
102,2019-05-09,7997.54,0.0,0.0,NULL,NULL,0.0
103,2019-05-10,7997.54,0.0,0.0,NULL,NULL,0.0
104,2019-05-11,7997.54,0.0,0.0,NULL,NULL,0.0
105,2019-05-12,7997.54,0.0,0.0,NULL,NULL,0.0
106,2019-05-13,7997.54,2.0,5e-06,21,124,5.0
107,2019-05-14,7997.54,1.0,5e-06,23,132,5.0
108,2019-05-15,7997.54,0.0,0.0,NULL,NULL,0.0
109,2019-05-16,7997.54,0.0,0.0,NULL,NULL,0.0
110,2019-05-17,7997.54,0.0,0.0,NULL,NULL,0.0
111,2019-05-18,7997.54,0.0,0.0,NULL,NULL,0.0
112,2019-05-19,7997.54,0.0,0.0,NULL,NULL,0.0
113,2019-05-20,7997.54,0.0,0.0,NULL,NULL,0.0
114,2019-05-21,7897.54,2.0,2e-06,22,118,3.0
115,2019-05-22,7897.54,1.0,1e-06,24,136,1.0
116,2019-05-23,7897.54,0.0,0.0,NULL,NULL,0.0
117,2019-05-24,7897.54,3.0,5e-06,22,117,6.0
118,2019-05-25,7997.54,1.0,100.0,25,141,1.0
119,2019-05-26,7997.54,0.0,0.0,NULL,NULL,0.0
120,2019-05-27,7797.54,4.0,500.000001,20,110,13.0
121,2019-05-28,7797.54,1.0,1e-06,25,144,1.0
122,2019-05-29,7797.54,3.0,200.0,22,114,4.0
123,2019-05-30,7797.54,3.0,200.0,23,115,4.0
124,2019-05-31,7797.54,0.0,0.0,NULL,NULL,0.0
125,2019-06-01,7797.54,0.0,0.0,NULL,NULL,0.0
126,2019-06-02,7797.54,2.0,100.0,24,126,2.0
127,2019-06-03,7797.54,0.0,0.0,NULL,NULL,0.0
128,2019-06-04,7797.54,3.0,100.000001,24,111,3.0
129,2019-06-05,7797.54,1.0,1e-06,23,138,1.0
130,2019-06-06,7797.54,0.0,0.0,NULL,NULL,0.0
131,2019-06-07,7797.54,0.0,0.0,NULL,NULL,0.0
132,2019-06-08,7797.54,0.0,0.0,NULL,NULL,0.0
133,2019-06-09,7797.54,0.0,0.0,NULL,NULL,0.0
134,2019-06-10,7797.54,0.0,0.0,NULL,NULL,0.0
135,2019-06-11,7797.54,0.0,0.0,NULL,NULL,0.0
136,2019-06-12,7797.54,0.0,0.0,NULL,NULL,0.0
137,2019-06-13,7797.54,0.0,0.0,NULL,NULL,0.0
138,2019-06-14,7797.54,0.0,0.0,NULL,NULL,0.0
139,2019-06-15,7797.54,0.0,0.0,NULL,NULL,0.0
140,2019-06-16,7797.54,2.0,2e-06,22,127,2.0
141,2019-06-17,7797.54,0.0,0.0,NULL,NULL,0.0
142,2019-06-18,7797.54,3.0,200.0,20,108,4.0
143,2019-06-19,7797.54,0.0,0.0,NULL,NULL,0.0
144,2019-06-20,7797.54,0.0,0.0,NULL,NULL,0.0
145,2019-06-21,7797.54,1.0,0.0,24,145,3.0
146,2019-06-22,7797.54,1.0,1e-06,22,136,1.0
147,2019-06-23,7797.54,0.0,0.0,NULL,NULL,0.0
148,2019-06-24,7797.54,0.0,0.0,NULL,NULL,0.0
149,2019-06-25,7797.54,0.0,0.0,NULL,NULL,0.0
150,2019-06-26,7797.54,0.0,0.0,NULL,NULL,0.0
151,2019-06-27,7797.54,0.0,0.0,NULL,NULL,0.0
152,2019-06-28,7797.54,0.0,0.0,NULL,NULL,0.0
153,2019-06-29,7797.54,0.0,0.0,NULL,NULL,0.0
154,2019-06-30,7797.54,0.0,0.0,NULL,NULL,0.0
155,2019-07-01,7797.54,0.0,0.0,NULL,NULL,0.0
156,2019-07-02,7797.54,1.0,1e-06,20,134,1.0
157,2019-07-03,7797.54,0.0,0.0,NULL,NULL,0.0
158,2019-07-04,7797.54,0.0,0.0,NULL,NULL,0.0
159,2019-07-05,7997.54,5.0,1400.000009,15,85,35.0
160,2019-07-06,7997.54,0.0,0.0,NULL,NULL,0.0
161,2019-07-07,7997.54,0.0,0.0,NULL,NULL,0.0
162,2019-07-08,7997.54,1.0,0.0,24,129,10.0
163,2019-07-09,7997.54,0.0,0.0,NULL,NULL,0.0
164,2019-07-10,7997.54,2.0,2e-06,18,109,2.0
165,2019-07-11,7997.54,7.0,7e-06,14,80,7.0
166,2019-07-12,7997.54,3.0,3e-06,17,101,3.0
167,2019-07-13,7997.54,2.0,2e-06,15,101,2.0
168,2019-07-14,7997.54,0.0,0.0,NULL,NULL,0.0
169,2019-07-15,7997.54,0.0,0.0,NULL,NULL,0.0
170,2019-07-16,7997.54,4.0,4e-06,13,87,7.0
171,2019-07-17,7997.54,1.0,1e-06,25,134,1.0
172,2019-07-18,7997.54,0.0,0.0,NULL,NULL,0.0
173,2019-07-19,7997.54,0.0,0.0,NULL,NULL,0.0
174,2019-07-20,7997.54,2.0,3e-06,18,105,3.0
175,2019-07-21,7997.54,2.0,2e-06,20,114,2.0
176,2019-07-22,7997.54,1.0,1e-06,19,125,1.0
177,2019-07-23,7997.54,2.0,1e-06,18,106,2.0
178,2019-07-24,7997.54,3.0,4e-06,17,96,4.0
179,2019-07-25,7997.54,4.0,7e-06,15,87,7.0
180,2019-07-26,7997.54,4.0,2.3e-05,16,81,23.0
181,2019-07-27,7997.54,0.0,0.0,NULL,NULL,0.0
182,2019-07-28,7997.54,3.0,7e-06,17,88,7.0
183,2019-07-29,7997.54,5.0,1.5e-05,13,70,17.0
184,2019-07-30,7997.54,0.0,0.0,NULL,NULL,0.0
185,2019-07-31,7997.54,3.0,6e-06,16,91,6.0
186,2019-08-01,7997.54,7.0,7e-06,13,70,10.0
187,2019-08-02,7997.54,5.0,5e-06,13,78,5.0
188,2019-08-03,8134.51,15.0,500.000017,8,57,110.0
189,2019-08-04,8134.51,4.0,3e-06,15,87,4.0
190,2019-08-05,8134.51,4.0,10.000005,18,89,12.0
191,2019-08-06,8134.51,5.0,5e-06,15,79,11.0
192,2019-08-07,8134.51,0.0,0.0,NULL,NULL,0.0
193,2019-08-08,7854.51,3.0,30.000003,19,89,37.0
194,2019-08-09,7824.51,5.0,7e-06,13,77,11.0
195,2019-08-10,7824.51,5.0,10.000003,15,76,5.0
196,2019-08-11,7824.51,2.0,5e-06,22,102,5.0
197,2019-08-12,7824.51,3.0,3e-06,19,87,3.0
198,2019-08-13,7824.51,2.0,30.000001,19,97,7.0
199,2019-08-14,0.0,1.0,1e-06,20,106,1.0
200,2019-08-15,7824.51,0.0,0.0,NULL,NULL,0.0
201,2019-08-16,7824.51,1.0,1e-06,20,114,1.0
202,2019-08-17,7824.51,4.0,2e-06,15,74,10.0
203,2019-08-18,7824.51,0.0,0.0,NULL,NULL,0.0
204,2019-08-19,7824.51,1.0,1e-06,20,105,1.0
205,2019-08-20,7824.51,2.0,1e-06,16,99,3.0
206,2019-08-21,7824.51,1.0,1e-06,21,117,1.0
207,2019-08-22,0.0,9.0,7e-06,13,68,16.0
208,2019-08-23,7824.51,10.0,8e-06,11,59,11.0
209,2019-08-24,7954.6,23.0,685.00001,9,44,122.0
210,2019-08-25,7954.6,4.0,4e-06,15,77,4.0
211,2019-08-26,7954.6,4.0,9e-06,16,80,9.0
212,2019-08-27,8080.77,24.0,530.000015,9,45,100.0
213,2019-08-28,8080.77,0.0,0.0,NULL,NULL,0.0
214,2019-08-29,8080.77,4.0,4e-06,15,81,4.0
215,2019-08-30,8080.77,2.0,2e-06,17,97,2.0
216,2019-08-31,8080.77,2.0,2e-06,18,100,2.0
217,2019-09-01,8080.77,1.0,1e-06,18,113,1.0
218,2019-09-02,8080.77,1.0,1e-06,22,112,1.0
219,2019-09-03,0.0,31.0,510.000024,9,42,113.0
220,2019-09-04,7724.84,41.0,850.000014,8,42,332.0
221,2019-09-05,7160.76,36.0,730.000008,8,42,288.0
222,2019-09-06,6422.04,30.0,610.000008,9,47,251.0
223,2019-09-07,7000.79,31.0,1870.000007,8,42,231.0
224,2019-09-08,6350.56,26.0,420.000002,8,46,167.0
225,2019-09-09,5574.91,40.0,720.000005,8,42,290.0
226,2019-09-10,4717.97,39.0,1045.000009,10,44,421.0
227,2019-09-11,3950.95,45.0,1070.000012,7,40,428.0
228,2019-09-12,11755.63,45.0,9385.000017,7,40,355.0
229,2019-09-13,10836.27,44.0,895.000014,7,40,372.0
230,2019-09-14,10169.98,42.0,885.000009,7,36,314.0
231,2019-09-15,10478.14,45.0,2445.000016,7,40,454.0
232,2019-09-16,10859.98,36.0,2395.000006,8,42,370.0
233,2019-09-17,11341.7,40.0,2025.000005,7,41,324.0
234,2019-09-18,10901.65,33.0,665.000004,10,48,178.0
235,2019-09-19,11937.13,35.0,2680.000011,10,52,278.0
236,2019-09-20,10977.54,41.0,770.000006,8,53,305.0
237,2019-09-21,9897.83,47.0,975.000009,7,44,390.0
238,2019-09-22,8936.32,40.0,805.000006,7,46,326.0
239,2019-09-23,8137.43,38.0,615.000009,8,51,253.0
240,2019-09-24,7064.24,36.0,775.000003,9,56,313.0
241,2019-09-25,6376.46,36.0,540.000002,9,55,217.0
242,2019-09-26,5437.43,37.0,880.000004,7,53,352.0
243,2019-09-27,5542.35,44.0,1500.00001,7,49,452.0
244,2019-09-28,4377.85,37.0,1000.000006,8,52,462.0
245,2019-09-29,3589.94,34.0,575.000004,8,53,235.0
246,2019-09-30,2675.32,34.0,595.000001,8,57,239.0
247,2019-10-01,1778.88,34.0,685.000003,8,57,274.0
248,2019-10-02,10813.64,31.0,10815.000003,9,58,325.0
249,2019-10-03,9929.07,37.0,620.000004,8,57,248.0
250,2019-10-04,9121.74,28.0,575.000001,8,57,224.0
251,2019-10-05,8307.44,35.0,540.000002,7,56,217.0
252,2019-10-06,7524.02,30.0,715.000002,9,59,280.0
253,2019-10-07,6680.46,41.0,750.000007,8,56,295.0
254,2019-10-08,5740.56,49.0,805.000014,7,54,329.0
255,2019-10-09,4653.1,46.0,820.000013,7,53,330.0
256,2019-10-10,3569.08,39.0,890.000008,7,58,362.0
257,2019-10-11,2558.75,41.0,835.000005,9,58,338.0
258,2019-10-12,1675.5,39.0,565.000006,7,55,227.0
259,2019-10-13,6179.21,30.0,6000.000003,8,56,206.0
260,2019-10-14,5357.03,31.0,780.000005,7,56,313.0
261,2019-10-15,4190.31,38.0,840.000009,7,56,340.0
