,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-01-04,0.0,221.0,2477020.0,3,16,9511.0
1,2019-01-05,0.0,868.0,2966560.0,2,6,70896.0
2,2019-01-06,0.0,1031.0,2259080.0,2,8,82407.0
3,2019-01-07,0.0,1021.0,1654820.0,2,8,254595.0
4,2019-01-08,0.0,1193.0,863640.0,2,8,115782.0
5,2019-01-09,8119422.51,1285.0,3629395.0,2,5,105448.0
6,2019-01-10,8470586.94,1301.0,1106800.0,3,7,134557.0
7,2019-01-11,8661174.65,1321.0,898890.0,3,7,138141.0
8,2019-01-12,8900900.52,1265.0,1009560.0,3,7,131876.0
9,2019-01-13,9312350.6,1274.0,3086126.0,3,9,220325.0
10,2019-01-14,9272914.64,1243.0,1471358.0,4,8,172033.0
11,2019-01-15,9157809.15,1226.0,570740.0,3,10,169579.0
12,2019-01-16,8870926.55,1168.0,790952.0,4,11,207566.0
13,2019-01-17,8674875.65,1172.0,476920.0,4,11,224823.0
14,2019-01-18,8360674.75,1158.0,2639962.0,4,12,49443.0
15,2019-01-19,8656445.83,1520.0,1236300.0,4,10,50882.0
16,2019-01-20,0.0,1601.0,10971469.0,4,9,61356.0
17,2019-01-21,8653198.61,1491.0,430520.0,4,10,47698.0
18,2019-01-22,8448565.48,1302.0,440080.0,4,10,41541.0
19,2019-01-23,8352164.55,1207.0,9331687.0,4,12,42889.0
20,2019-01-24,8116126.26,1234.0,460340.0,5,12,52053.0
21,2019-01-25,8642389.77,1206.0,1332420.0,5,12,48474.0
22,2019-01-26,8474927.13,1145.0,509200.0,5,13,45203.0
23,2019-01-27,8204789.22,1187.0,395440.0,5,14,41889.0
24,2019-01-28,0.0,1102.0,498097.0,5,16,42988.0
25,2019-01-29,7523752.09,1056.0,319185.0,6,18,44160.0
26,2019-01-30,7088652.86,1015.0,202855.0,6,20,41663.0
27,2019-01-31,6752507.91,966.0,185405.0,7,20,39098.0
28,2019-02-01,6401455.72,926.0,194255.0,7,21,34986.0
29,2019-02-02,6908737.22,906.0,1055130.0,7,22,41013.0
30,2019-02-03,6696218.93,925.0,343220.0,7,24,38707.0
31,2019-02-04,6494620.59,924.0,321910.0,7,22,41169.0
32,2019-02-05,6202553.25,983.0,178860.0,7,22,36807.0
33,2019-02-06,5866574.88,950.0,181880.0,7,22,34832.0
34,2019-02-07,5565730.18,897.0,179560.0,6,20,32838.0
35,2019-02-08,5269359.49,850.0,163480.0,6,18,31966.0
36,2019-02-09,5024314.65,903.0,131040.0,6,20,30021.0
37,2019-02-10,4719857.95,887.0,84540.0,5,18,33174.0
38,2019-02-11,4597134.45,855.0,906916.0,7,21,31966.0
39,2019-02-12,4632348.09,846.0,4026721.0,7,21,32371.0
40,2019-02-13,4385815.97,879.0,637830.0,7,21,49740.0
41,2019-02-14,4185800.15,855.0,246591.0,7,20,31302.0
42,2019-02-15,4029009.93,840.0,186400.0,6,20,33933.0
43,2019-02-16,3917417.18,771.0,199930.0,7,21,30624.0
44,2019-02-17,3782079.2,768.0,1252563.0,6,17,34773.0
45,2019-02-18,3559881.77,761.0,48428.0,7,20,30913.0
46,2019-02-19,3386072.78,754.0,96446.0,6,19,28560.0
47,2019-02-20,3230481.31,751.0,117820.0,6,19,28592.0
48,2019-02-21,3071144.05,709.0,815010.0,7,20,29586.0
49,2019-02-22,2903135.86,688.0,108870.0,8,20,28668.0
50,2019-02-23,0.0,703.0,120990.0,8,20,28850.0
51,2019-02-24,0.0,686.0,686184.0,8,21,28868.0
52,2019-02-25,2467776.87,721.0,165102.0,7,21,28881.0
53,2019-02-26,2358706.26,678.0,51901.0,9,22,27163.0
54,2019-02-27,2254543.73,646.0,60542.0,9,23,24143.0
55,2019-02-28,2108520.0,616.0,21667.0,9,21,24907.0
56,2019-03-01,2176659.32,629.0,239238.0,9,21,24621.0
57,2019-03-02,2166470.75,623.0,136035.0,9,23,23756.0
58,2019-03-03,2128433.57,645.0,970521.0,9,20,25357.0
59,2019-03-04,2022924.72,617.0,36025.0,8,20,19615.0
60,2019-03-05,1925268.66,642.0,66257.0,8,20,18850.0
61,2019-03-06,1851403.28,618.0,58120.0,8,19,19225.0
62,2019-03-07,1772280.68,633.0,409183.0,7,18,21102.0
63,2019-03-08,1702578.2,588.0,72194.0,8,19,19039.0
64,2019-03-09,1677824.12,588.0,301071.0,8,19,20721.0
65,2019-03-10,1614928.08,571.0,65330.0,8,20,20220.0
