,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-02-09,0.0,1.0,251300.0,28,83,37.0
1,2019-02-10,0.0,2.0,30300.0,22,72,7.0
2,2019-02-11,41.01,13.0,4850.0,16,53,42.0
3,2019-02-12,2898.75,23.0,21700.0,13,45,114.0
4,2019-02-13,1492.91,31.0,33750.0,10,40,153.0
5,2019-02-14,5918.65,43.0,55300.0,10,38,154.0
6,2019-02-15,6210.24,37.0,29150.0,12,44,139.0
7,2019-02-16,8526.62,32.0,25300.0,10,42,105.0
8,2019-02-17,10418.66,60.0,43100.0,10,37,173.0
9,2019-02-18,9316.08,47.0,16550.0,10,40,142.0
10,2019-02-19,10230.67,35.0,12850.0,11,43,74.0
11,2019-02-20,9349.79,26.0,2550.0,12,48,38.0
12,2019-02-21,10666.66,28.0,5550.0,12,48,47.0
13,2019-02-22,8655.75,22.0,300.0,14,55,27.0
14,2019-02-23,0.0,10.0,350.0,16,60,10.0
15,2019-02-24,0.0,13.0,750.0,15,55,16.0
16,2019-02-25,8308.68,19.0,1650.0,15,54,37.0
17,2019-02-26,8064.94,9.0,50.0,16,63,9.0
18,2019-02-27,3537.12,15.0,100.0,13,55,17.0
19,2019-02-28,3575.02,8.0,300.0,17,70,10.0
20,2019-03-01,3472.1,12.0,50.0,14,62,14.0
21,2019-03-02,3473.82,10.0,350.0,15,63,11.0
22,2019-03-03,3479.26,7.0,200.0,16,70,8.0
23,2019-03-04,3591.58,11.0,750.0,17,64,17.0
24,2019-03-05,3585.68,3.0,0.0,23,89,3.0
25,2019-03-06,3572.35,7.0,350.0,18,73,12.0
26,2019-03-07,3948.76,9.0,2200.0,18,76,15.0
27,2019-03-08,6537.77,10.0,50.0,18,69,10.0
28,2019-03-09,5807.2,8.0,250.0,18,72,10.0
29,2019-03-10,4857.56,13.0,1550.0,16,62,19.0
30,2019-03-11,4413.97,9.0,150.0,14,66,12.0
31,2019-03-12,2487.33,9.0,1600.0,17,69,12.0
32,2019-03-13,2331.76,12.0,900.0,16,64,16.0
33,2019-03-14,0.0,6.0,100.0,18,79,7.0
34,2019-03-15,0.0,7.0,0.0,17,76,11.0
35,2019-03-16,0.0,3.0,50.0,21,92,3.0
36,2019-03-17,0.0,11.0,22700.0,16,73,46.0
37,2019-03-18,0.0,18.0,650.0,14,66,24.0
38,2019-03-19,0.0,7.0,550.0,17,86,7.0
39,2019-03-20,5836.54,12.0,2550.0,17,80,17.0
