,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2018-11-23,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-11-24,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-11-25,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-11-26,0.0,0.0,0.0,NULL,NULL,0.0
4,2018-11-27,0.0,0.0,0.0,NULL,NULL,0.0
5,2018-11-28,0.0,0.0,0.0,NULL,NULL,0.0
6,2018-11-29,0.0,0.0,0.0,NULL,NULL,0.0
7,2018-11-30,0.0,0.0,0.0,NULL,NULL,0.0
8,2018-12-01,0.0,0.0,0.0,NULL,NULL,0.0
9,2018-12-02,0.0,0.0,0.0,NULL,NULL,0.0
10,2018-12-03,0.0,0.0,0.0,NULL,NULL,0.0
11,2018-12-04,0.0,0.0,0.0,NULL,NULL,0.0
12,2018-12-05,0.0,0.0,0.0,NULL,NULL,0.0
13,2018-12-06,0.0,0.0,0.0,NULL,NULL,0.0
14,2018-12-07,0.0,0.0,0.0,NULL,NULL,0.0
15,2018-12-08,0.0,0.0,0.0,NULL,NULL,0.0
16,2018-12-09,0.0,0.0,0.0,NULL,NULL,0.0
17,2018-12-10,0.0,0.0,0.0,NULL,NULL,0.0
18,2018-12-11,1303.1,0.0,0.0,NULL,NULL,0.0
19,2018-12-12,1303.1,0.0,0.0,NULL,NULL,0.0
20,2018-12-13,1303.1,0.0,0.0,NULL,NULL,0.0
21,2018-12-14,74.6,0.0,0.0,NULL,NULL,0.0
22,2018-12-15,74.6,0.0,0.0,NULL,NULL,0.0
23,2018-12-16,0.0,0.0,0.0,NULL,NULL,0.0
24,2018-12-17,0.0,0.0,0.0,NULL,NULL,0.0
25,2018-12-18,0.0,0.0,0.0,NULL,NULL,0.0
26,2018-12-19,0.0,0.0,0.0,NULL,NULL,0.0
27,2018-12-20,0.0,0.0,0.0,NULL,NULL,0.0
28,2018-12-21,76.52,0.0,0.0,NULL,NULL,0.0
29,2018-12-22,0.0,0.0,0.0,NULL,NULL,0.0
30,2018-12-23,0.0,0.0,0.0,NULL,NULL,0.0
31,2018-12-24,0.0,0.0,0.0,NULL,NULL,0.0
32,2018-12-25,13134.45,0.0,0.0,NULL,NULL,0.0
33,2018-12-26,13272.59,0.0,0.0,NULL,NULL,0.0
34,2018-12-27,14050.55,0.0,0.0,NULL,NULL,0.0
35,2018-12-28,14278.55,0.0,0.0,NULL,NULL,0.0
36,2018-12-29,14190.85,0.0,0.0,NULL,NULL,0.0
37,2018-12-30,14559.13,0.0,0.0,NULL,NULL,0.0
38,2018-12-31,14628.43,9.0,886.0,7,37,104.0
39,2019-01-01,15250.73,12.0,4124.0,7,32,158.0
40,2019-01-02,15571.33,17.0,2650.0,8,35,244.0
41,2019-01-03,15691.33,13.0,929.0,9,38,164.0
42,2019-01-04,16481.03,15.0,7213.0,10,40,297.0
43,2019-01-05,17981.93,9.0,9636.0,13,46,198.0
44,2019-01-06,19396.73,19.0,8757.0,12,37,392.0
45,2019-01-07,19371.93,17.0,1425.0,14,38,138.0
46,2019-01-08,19480.23,15.0,1085.0,12,43,190.0
47,2019-01-09,12297.73,18.0,724.0,12,40,144.0
48,2019-01-10,12848.83,17.0,3046.0,12,40,207.0
49,2019-01-11,12895.83,11.0,222.0,14,46,154.0
50,2019-01-12,13066.33,13.0,575.0,15,48,255.0
51,2019-01-13,12770.83,10.0,322.0,16,50,113.0
52,2019-01-14,12850.43,10.0,293.0,15,49,150.0
53,2019-01-15,12431.93,15.0,322.0,12,44,218.0
54,2019-01-16,12576.23,8.0,782.0,16,49,202.0
55,2019-01-17,12969.13,18.0,2145.0,13,44,620.0
