,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-09-06,0.0,1.0,0.0,23,120,3.0
1,2019-09-08,0.0,1.0,0.0,23,125,1.0
2,2019-09-09,0.0,1.0,0.0,25,117,256.0
3,2019-09-10,0.0,1.0,0.0,26,120,51.0
4,2019-09-11,0.0,1.0,0.0,28,122,38.0
5,2019-09-12,0.0,1.0,0.0,24,126,33.0
6,2019-09-13,0.0,1.0,0.0,22,110,18.0
7,2019-09-14,0.0,1.0,0.0,21,119,32.0
8,2019-09-15,0.0,1.0,0.0,21,109,15.0
9,2019-09-16,0.0,1.0,0.0,23,117,18.0
10,2019-09-17,0.0,1.0,0.0,23,118,14.0
11,2019-09-18,0.0,1.0,0.0,22,106,75.0
12,2019-09-19,0.0,1.0,0.0,21,112,113.0
13,2019-09-20,0.0,1.0,0.0,20,121,955.0
14,2019-09-21,0.0,1.0,0.0,21,114,1438.0
15,2019-09-22,0.0,1.0,0.0,19,116,1432.0
16,2019-09-23,0.0,1.0,0.0,24,124,1428.0
17,2019-09-24,0.0,1.0,0.0,19,121,2733.0
18,2019-09-25,0.0,1.0,0.0,20,127,3695.0
19,2019-09-26,0.0,1.0,0.0,20,123,2544.0
20,2019-09-27,0.0,1.0,0.0,21,125,12.0
21,2019-09-28,0.0,1.0,0.0,22,112,1267.0
22,2019-09-29,0.0,1.0,0.0,22,121,105.0
23,2019-09-30,0.0,4.0,207.267392,18,99,103.0
24,2019-10-01,0.0,1.0,118.17148,21,131,360.0
25,2019-10-02,0.0,2.0,210.400289,20,111,256.0
26,2019-10-03,0.0,2.0,43.19136,20,109,209.0
27,2019-10-04,0.0,3.0,383.909963,19,102,34.0
28,2019-10-05,0.0,2.0,145.98264,19,111,15.0
29,2019-10-06,0.0,2.0,3.274138,22,113,90.0
30,2019-10-07,0.0,2.0,4.602996,18,113,8.0
31,2019-10-08,0.0,4.0,226.69922,15,102,52.0
32,2019-10-09,0.0,3.0,699.465823,19,105,120.0
33,2019-10-10,0.0,4.0,34.527272,16,96,52.0
34,2019-10-11,0.0,2.0,5.206143,18,113,210.0
35,2019-10-12,0.0,2.0,127.888488,17,107,31.0
36,2019-10-13,0.0,2.0,121.808421,18,103,14.0
37,2019-10-14,0.0,3.0,900.7873,16,99,23.0
38,2019-10-15,0.0,3.0,242.614831,19,103,25.0
39,2019-10-16,0.0,2.0,212.170497,16,101,29.0
40,2019-10-17,10466.34,3.0,53.743447,16,98,19.0
41,2019-10-18,10466.34,2.0,0.0,18,115,12.0
42,2019-10-19,10566.16,5.0,99.818176,14,91,13.0
43,2019-10-20,10917.1,2.0,677.310273,17,102,204.0
44,2019-10-21,11295.5,3.0,378.39596,18,102,59.0
45,2019-10-22,11450.9,2.0,155.39611,17,106,24.0
46,2019-10-23,11166.14,4.0,528.794661,16,93,53.0
47,2019-10-24,11289.45,5.0,123.310515,14,92,52.0
48,2019-10-25,11804.43,3.0,514.979942,19,106,38.0
49,2019-10-26,11457.33,4.0,7.031477,18,94,261.0
50,2019-10-27,11680.16,3.0,678.6,17,97,73.0
51,2019-10-28,9156.63,12.0,1156.05,13,78,302.0
52,2019-10-29,5455.35,12.0,368.55,13,73,160.0
53,2019-10-30,2653.04,16.0,225.0,12,71,136.0
54,2019-10-31,2579.59,5.0,109.35,17,93,63.0
55,2019-11-01,2683.48,5.0,208.8,16,94,724.0
56,2019-11-02,2929.26,9.0,364.5,16,86,358.0
57,2019-11-03,2364.45,15.0,709.2,13,76,908.0
58,2019-11-04,4195.4,14.0,2316.6,13,81,349.0
59,2019-11-05,2645.1,12.0,365.4,15,87,316.0
60,2019-11-06,2534.99,4.0,47.7,18,104,304.0
61,2019-11-07,2376.35,9.0,848.25,15,89,376.0
62,2019-11-08,1823.76,41.0,88.65,10,56,195.0
63,2019-11-09,1703.22,52.0,44.1,7,52,243.0
64,2019-11-10,1618.81,124.0,166.95,6,42,379.0
65,2019-11-11,1329.63,141.0,294.75,5,38,294.0
