,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2018-12-12,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-13,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-14,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-12-15,0.0,0.0,0.0,NULL,NULL,0.0
4,2018-12-16,0.0,0.0,0.0,NULL,NULL,0.0
5,2018-12-17,390000.0,0.0,0.0,NULL,NULL,0.0
6,2018-12-18,870000.0,0.0,0.0,NULL,NULL,0.0
7,2018-12-19,1725000.0,0.0,0.0,NULL,NULL,0.0
8,2018-12-20,1810000.0,0.0,0.0,NULL,NULL,0.0
9,2018-12-21,1850000.0,0.0,0.0,NULL,NULL,0.0
10,2018-12-22,1865000.0,0.0,0.0,NULL,NULL,0.0
11,2018-12-23,2322500.0,0.0,0.0,NULL,NULL,0.0
12,2018-12-24,2342500.0,0.0,0.0,NULL,NULL,0.0
13,2018-12-25,2342500.0,0.0,0.0,NULL,NULL,0.0
14,2018-12-26,2425000.0,0.0,0.0,NULL,NULL,0.0
15,2018-12-27,2030000.0,0.0,0.0,NULL,NULL,0.0
16,2018-12-28,2747499.0,0.0,0.0,NULL,NULL,0.0
17,2019-02-06,0.0,1.0,0.0,24,79,1.0
18,2019-02-12,2747499.0,1.0,0.0,28,83,1.0
19,2019-02-19,0.0,1.0,0.0,27,91,1.0
20,2019-03-20,0.0,0.0,0.0,NULL,NULL,0.0
21,2019-03-21,0.0,0.0,0.0,NULL,NULL,0.0
22,2019-03-22,0.0,0.0,0.0,NULL,NULL,0.0
23,2019-03-23,0.0,0.0,0.0,NULL,NULL,0.0
24,2019-03-24,0.0,0.0,0.0,NULL,NULL,0.0
25,2019-03-25,0.0,0.0,0.0,NULL,NULL,0.0
26,2019-03-26,0.0,0.0,0.0,NULL,NULL,0.0
27,2019-03-27,0.0,0.0,0.0,NULL,NULL,0.0
28,2019-03-28,0.0,0.0,0.0,NULL,NULL,0.0
29,2019-03-29,0.0,0.0,0.0,NULL,NULL,0.0
30,2019-03-30,0.0,0.0,0.0,NULL,NULL,0.0
31,2019-03-31,0.0,38.0,3686.271121,14,85,348.0
32,2019-04-01,0.0,50.0,4709.555548,14,83,381.0
33,2019-04-02,0.0,49.0,1949.713981,13,78,338.0
34,2019-04-03,0.0,44.0,1290.722,13,80,300.0
35,2019-04-04,0.0,38.0,3203.00922,13,79,258.0
36,2019-04-05,0.0,43.0,3241.921,12,76,295.0
37,2019-04-06,0.0,54.0,15890.831649,12,74,459.0
38,2019-04-07,0.0,51.0,3286.2339,12,74,385.0
39,2019-04-08,0.0,61.0,2503.783985,12,71,509.0
40,2019-04-09,0.0,70.0,5806.838981,12,67,557.0
41,2019-04-10,0.0,85.0,5598.302134,12,62,520.0
42,2019-04-11,0.0,100.0,2935.277627,11,61,961.0
43,2019-04-12,0.0,99.0,9645.46075,11,61,1758.0
44,2019-04-13,0.0,98.0,7361.227886,10,60,1503.0
45,2019-04-14,0.0,82.0,4068.9644,10,60,1228.0
46,2019-04-15,0.0,97.0,310.101016,9,57,1174.0
47,2019-04-16,0.0,87.0,633.952198,9,58,1070.0
48,2019-04-17,0.0,97.0,1584.114065,9,58,1174.0
49,2019-04-18,0.0,107.0,4143.61204,9,55,1394.0
50,2019-04-19,0.0,107.0,60383.064872,9,53,1479.0
51,2019-04-20,0.0,106.0,23550.149952,9,50,1428.0
52,2019-04-21,0.0,101.0,17639.103007,9,50,1518.0
53,2019-04-22,0.0,111.0,3784.623009,9,49,1080.0
54,2019-04-23,0.0,56.0,6121.100137,8,57,1176.0
55,2019-04-24,0.0,111.0,3870.123197,7,48,1486.0
56,2019-04-25,0.0,110.0,9539.093375,9,49,961.0
57,2019-04-26,0.0,116.0,4067.596602,7,46,421.0
58,2019-04-27,0.0,130.0,3072.279141,7,44,494.0
59,2019-04-28,0.0,128.0,5034.468099,7,42,434.0
60,2019-04-29,0.0,122.0,4357.561086,7,47,466.0
61,2019-04-30,0.0,133.0,19861.545282,7,41,727.0
62,2019-05-01,0.0,137.0,8402.682063,7,41,931.0
63,2019-05-02,0.0,129.0,7927.291829,7,40,631.0
64,2019-05-03,0.0,124.0,4733.114182,6,41,480.0
65,2019-05-04,0.0,119.0,5262.420276,7,43,489.0
66,2019-05-05,0.0,129.0,9603.076304,6,42,805.0
67,2019-05-06,0.0,128.0,9725.630296,6,39,611.0
68,2019-05-07,0.0,117.0,6685.537691,5,43,849.0
69,2019-05-08,0.0,127.0,5420.004418,6,37,672.0
70,2019-05-09,0.0,124.0,2171827.935508,5,34,744.0
71,2019-05-10,0.0,128.0,33000.901429,5,39,888.0
72,2019-05-11,0.0,130.0,9756.382271,5,35,944.0
73,2019-05-12,0.0,99.0,3620.948048,5,34,246.0
74,2019-05-13,1133936.14,126.0,4534.008155,6,42,368.0
75,2019-05-14,1135952.67,127.0,5403.335,5,40,676.0
76,2019-05-15,1138894.21,126.0,5066.1581,5,41,785.0
77,2019-05-16,1141298.42,121.0,5407.851285,5,43,670.0
78,2019-05-17,523391.94,131.0,38985.683029,5,38,886.0
79,2019-05-18,1146323.0,113.0,6652.325154,5,41,627.0
80,2019-05-19,1147915.3,111.0,9941.6056,5,40,270.0
81,2019-05-20,1153815.59,119.0,42531.013219,5,38,682.0
82,2019-05-21,1175432.51,115.0,5091.952027,5,39,638.0
83,2019-05-22,1178356.74,109.0,6185.22059,5,38,808.0
84,2019-05-23,1188902.13,123.0,20651.474865,8,39,691.0
85,2019-05-24,1193222.55,127.0,10111.401048,8,37,484.0
86,2019-05-25,1198726.63,146.0,5680.249004,7,35,516.0
87,2019-05-26,1199859.69,142.0,6161.295409,7,36,448.0
88,2019-05-27,1201039.31,150.0,1739.297009,7,37,501.0
89,2019-05-28,914833.46,147.0,8102.119055,8,37,564.0
90,2019-05-29,1204657.32,55.0,3794.215127,11,51,757.0
91,2019-05-30,1206808.46,38.0,4116.397141,12,56,722.0
92,2019-05-31,919350.88,122.0,1790.703913,8,40,493.0
93,2019-06-01,921761.31,150.0,3443.481073,8,34,724.0
94,2019-06-02,1212763.42,142.0,3801.478906,9,38,602.0
95,2019-06-03,1214550.11,145.0,26060.831146,8,39,426.0
96,2019-06-04,1218920.41,144.0,13904.2156,8,36,419.0
97,2019-06-05,1223779.62,161.0,5889.22392,8,35,443.0
98,2019-06-06,1226692.5,148.0,6487.822751,8,36,863.0
99,2019-06-07,1229823.64,146.0,4675.991852,8,37,703.0
100,2019-06-08,1232094.33,144.0,3019.932005,8,36,738.0
101,2019-06-09,1239887.17,148.0,8564.396244,7,35,1499.0
102,2019-06-10,1244869.39,146.0,8422.488901,6,36,1464.0
103,2019-06-11,1250194.42,158.0,8791.785935,6,36,1346.0
104,2019-06-12,1255681.16,151.0,6286.068431,6,34,1617.0
105,2019-06-13,1209818.18,152.0,6147.345208,6,36,1251.0
106,2019-06-14,1213039.73,150.0,6042.950284,6,35,855.0
107,2019-06-15,1219724.89,158.0,9822.743117,6,32,1761.0
108,2019-06-16,1228110.75,149.0,9420.146885,6,35,2685.0
109,2019-06-17,1232822.13,147.0,5846.07551,6,35,1475.0
110,2019-06-18,1237268.52,149.0,5792.838023,6,33,1423.0
111,2019-06-19,1261136.41,156.0,54479.679109,6,33,5106.0
112,2019-06-20,1265870.32,147.0,10967.317028,6,34,1226.0
113,2019-06-21,1270847.35,136.0,7241.095511,6,34,677.0
114,2019-06-22,1276471.78,151.0,7083.137178,6,35,1466.0
115,2019-06-23,1288379.09,150.0,14407.402488,6,32,3168.0
116,2019-06-24,1291795.13,150.0,9552.642605,6,36,1075.0
117,2019-06-25,1296371.3,161.0,5365.157018,6,35,1339.0
118,2019-06-26,1299788.7,154.0,5120.469045,6,34,1012.0
119,2019-06-27,1305996.04,153.0,7018.506562,6,35,1803.0
120,2019-06-28,1309374.72,162.0,10750.276747,6,30,610.0
121,2019-06-29,1311661.62,156.0,7942.768024,6,29,861.0
122,2019-06-30,1313517.85,150.0,2571.267005,4,29,685.0
123,2019-07-01,1314850.17,152.0,3929.129075,4,32,512.0
124,2019-07-02,1317240.76,139.0,28760.740047,4,30,418.0
125,2019-07-03,1317956.89,149.0,1386.21012,3,30,350.0
126,2019-07-04,1320525.95,146.0,6460.611673,4,30,551.0
