,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-05-23,0.0,52.0,174010.0,12,51,133.0
1,2019-05-24,143114.0,262.0,1486.0,5,32,294.0
2,2019-05-25,145361.2,240.0,4149.0,5,30,285.0
3,2019-05-26,143206.2,230.0,21852.0,4,31,285.0
4,2019-05-27,160420.03,223.0,18662.83436,5,32,247.0
5,2019-05-28,149175.51,212.0,4723.4743,4,31,237.0
6,2019-05-29,152013.52,1607.0,3038.016285,3,14,1625.0
7,2019-05-30,303137.52,2047.0,376709.0,3,10,2082.0
8,2019-05-31,300285.44,2045.0,151449.91718,3,11,2116.0
9,2019-06-01,300057.01,2029.0,441.562927,3,9,2048.0
10,2019-06-02,300654.51,2037.0,15507.5,3,11,2054.0
11,2019-06-03,301909.51,2043.0,151786.0,3,12,2068.0
12,2019-06-04,193631.51,2041.0,301968.0,3,13,2072.0
13,2019-06-05,243855.51,2037.0,320042.0,3,11,2082.0
14,2019-06-06,203899.01,2047.0,247765.0,3,12,2093.0
15,2019-06-07,179839.01,2039.0,225065.0,2,11,2082.0
16,2019-06-08,237330.01,2032.0,278965.0,3,12,2091.0
17,2019-06-09,323162.76,2045.0,150884.0,3,11,2091.0
18,2019-06-10,330028.56,2047.0,168411.0,3,11,2078.0
19,2019-06-11,287160.81,2014.0,226000.0,3,10,2102.0
20,2019-06-12,211085.71,2044.0,299838.0,3,10,2104.0
21,2019-06-13,329424.81,2021.0,189910.0,3,10,2050.0
22,2019-06-14,342239.88,2026.0,246581.0,3,11,2067.0
23,2019-06-15,356107.88,2026.0,185300.0,3,9,2081.0
24,2019-06-16,390303.88,2029.0,110815.0,3,11,2059.0
25,2019-06-17,350571.38,2195.0,208500.0,3,8,2236.0
26,2019-06-18,351296.38,2132.0,21050.0,3,11,2215.0
27,2019-06-19,349537.98,2301.0,43490.0,3,9,2494.0
28,2019-06-20,338981.53,2347.0,174776.0,3,8,2540.0
29,2019-06-21,339841.53,2390.0,150520.0,3,9,2537.0
30,2019-06-22,339915.17,2360.0,748.0,3,10,2534.0
31,2019-06-23,339249.22,2387.0,650.0,3,10,2541.0
32,2019-06-24,364166.62,2405.0,61643.0,3,9,2559.0
