,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2018-12-23,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-27,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-28,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-12-29,0.0,0.0,0.0,NULL,NULL,0.0
4,2018-12-30,0.0,0.0,0.0,NULL,NULL,0.0
5,2018-12-31,0.0,2.0,0.0,13,48,34.0
6,2019-01-01,0.0,3.0,0.0,11,44,7.0
7,2019-01-02,0.0,11.0,296279.0,9,36,1249.0
8,2019-01-03,0.0,57.0,766460.0,7,25,2105.0
9,2019-01-04,0.0,92.0,892930.0,6,23,3923.0
10,2019-01-05,0.0,79.0,1013543.0,5,21,3889.0
11,2019-01-06,0.0,70.0,455850.0,7,23,1866.0
12,2019-01-07,0.0,80.0,494657.0,6,21,2705.0
13,2019-01-08,0.0,148.0,194363.0,5,19,2191.0
14,2019-01-09,1550332.14,160.0,64748.0,6,19,1435.0
15,2019-01-10,1156770.16,96.0,35535.0,5,22,1030.0
16,2019-01-11,1002765.38,106.0,108727.0,6,24,1303.0
17,2019-01-12,980065.11,48.0,76550.0,7,26,890.0
18,2019-01-13,981444.39,24.0,14104.0,10,38,371.0
19,2019-01-14,1005119.6,31.0,78420.0,10,36,398.0
20,2019-01-15,921995.46,29.0,5318.0,8,36,288.0
21,2019-01-16,927519.75,64.0,7975.0,8,27,325.0
22,2019-01-17,916802.78,55.0,11260.0,8,29,403.0
23,2019-01-18,920940.48,91.0,6007.0,7,25,182.0
24,2019-01-19,922690.36,71.0,2060.0,8,29,204.0
25,2019-01-20,0.0,66.0,2180.0,10,32,294.0
26,2019-01-21,1362466.89,53.0,501946.0,11,33,143.0
27,2019-01-22,1330128.29,87.0,61.0,8,30,147.0
28,2019-01-23,500802.26,89.0,587548.0,10,30,217.0
29,2019-01-24,464254.18,87.0,262784.0,10,28,185.0
30,2019-01-25,366257.17,52.0,3081.0,12,34,123.0
31,2019-01-26,304103.77,19.0,1777.0,12,42,131.0
32,2019-01-27,651528.78,14.0,569107.0,15,48,64.0
33,2019-01-28,0.0,90.0,165345.0,11,30,185.0
34,2019-01-29,589084.56,17.0,159.0,13,48,91.0
35,2019-01-30,606044.18,20.0,38095.0,13,46,129.0
36,2019-01-31,742268.79,86.0,212017.0,9,29,241.0
37,2019-02-01,717427.07,53.0,4305.0,11,35,278.0
38,2019-02-02,743763.25,21.0,26366.0,13,42,503.0
39,2019-02-03,757966.25,20.0,15228.0,13,44,485.0
40,2019-02-04,633524.79,25.0,12077.0,12,38,332.0
41,2019-02-05,658906.65,31.0,42651.0,13,39,345.0
42,2019-02-06,659180.91,19.0,691.0,13,44,532.0
43,2019-02-07,647460.08,22.0,1520.0,15,41,214.0
44,2019-02-08,814153.86,54.0,166817.0,11,33,257.0
45,2019-02-09,840045.16,17.0,25891.0,13,43,265.0
46,2019-02-10,930748.88,90.0,91881.0,9,30,322.0
47,2019-02-11,1043307.56,28.0,114285.0,12,40,672.0
48,2019-02-12,1112472.45,23.0,71622.0,13,45,229.0
49,2019-02-13,1109775.89,21.0,31905.0,11,44,257.0
50,2019-02-14,1142543.76,15.0,38954.0,15,52,132.0
51,2019-02-15,1142848.46,57.0,305.0,11,41,185.0
52,2019-02-16,1142896.93,15.0,48.0,15,54,87.0
53,2019-02-17,1250331.79,13.0,136308.0,13,54,126.0
54,2019-02-18,1477471.42,18.0,198373.0,13,53,186.0
55,2019-02-19,1415889.08,17.0,1691.0,13,52,118.0
56,2019-02-20,1415019.65,18.0,204.0,13,53,108.0
57,2019-02-21,1414835.98,12.0,15.0,16,63,60.0
58,2019-02-22,1413632.41,14.0,0.0,15,61,53.0
59,2019-02-23,0.0,13.0,134186.0,14,55,50.0
60,2019-02-24,0.0,10.0,46003.0,16,58,59.0
61,2019-02-25,1344063.03,19.0,59.0,15,54,129.0
62,2019-02-26,1343373.43,56.0,0.0,12,47,123.0
63,2019-02-27,1343425.11,7.0,52.0,17,70,25.0
64,2019-02-28,1344052.77,39.0,628.0,11,46,106.0
65,2019-03-01,1355863.83,12.0,11852.0,14,62,61.0
66,2019-03-02,1356012.07,8.0,148.0,16,68,21.0
67,2019-03-03,1356012.07,5.0,0.0,17,74,86.0
68,2019-03-04,1422940.81,31.0,67214.0,13,48,73.0
69,2019-03-05,1314061.84,19.0,1066.0,14,58,101.0
70,2019-03-06,1344605.22,43.0,32864.0,12,46,124.0
71,2019-03-07,1384140.47,39.0,50063.0,12,48,229.0
72,2019-03-08,1417188.15,28.0,35312.0,12,48,126.0
73,2019-03-09,1417357.21,19.0,9429.0,14,55,173.0
